string dom time charge
63 12 2571.85058594 1
63 13 2291.2109375 1
63 15 2286.84667969 1
63 15 3205.28051758 1
63 16 1952.61950684 1
63 17 1920.94799805 1
63 17 2176.98095703 1
63 18 1416.5925293 1
63 18 1504.78198242 1
63 18 1531.68713379 1
63 18 1553.58605957 1
63 18 1615.24841309 1
63 18 1632.7442627 1
63 18 1752.84387207 1
63 18 2011.79174805 1
63 18 2147.31982422 1
63 18 2362.44262695 1
63 18 2709.10791016 1
63 18 2853.578125 1
63 19 1289.15014648 1
63 19 1409.25341797 1
63 19 1518.16662598 1
63 19 1523.78088379 1
63 19 1645.10583496 1
63 19 1655.31933594 1
63 19 1722.03198242 1
63 19 1755.41369629 1
63 19 1777.4786377 1
63 19 1786.5222168 1
63 19 1803.77441406 1
63 19 1832.52600098 1
63 19 1843.32714844 1
63 19 1871.62060547 1
63 19 1927.25146484 1
63 19 1951.52380371 1
63 19 1985.42541504 1
63 19 2047.79296875 1
63 19 2056.17578125 1
63 19 2139.00561523 1
63 19 2217.32495117 1
63 19 2290.63964844 1
63 19 2704.08056641 1
63 20 1166.73925781 1
63 20 1170.95495605 1
63 20 1186.8059082 1
63 20 1192.04589844 1
63 20 1192.62854004 1
63 20 1226.02734375 1
63 20 1226.22338867 1
63 20 1269.31420898 1
63 20 1330.25891113 1
63 20 1349.56115723 1
63 20 1357.88293457 1
63 20 1386.01403809 1
63 20 1390.03259277 1
63 20 1416.33227539 1
63 20 1431.11425781 1
63 20 1434.73754883 1
63 20 1446.07434082 1
63 20 1459.75549316 1
63 20 1477.77734375 1
63 20 1499.51904297 1
63 20 1504.94995117 1
63 20 1544.44055176 1
63 20 1546.83007812 1
63 20 1644.52258301 1
63 20 1685.7088623 1
63 20 1838.2713623 1
63 20 1851.20129395 1
63 20 1855.03613281 1
63 20 1952.10925293 1
63 20 1956.10534668 1
63 20 2170.72680664 1
63 20 2276.5246582 1
63 20 2333.83081055 1
63 20 2403.14819336 1
63 20 2521.85327148 1
63 20 2554.83374023 1
63 20 2881.89672852 1
63 21 1113.69006348 1
63 21 1161.3494873 1
63 21 1168.91174316 1
63 21 1179.70947266 1
63 21 1215.78161621 1
63 21 1225.18127441 1
63 21 1295.66003418 1
63 21 1312.75537109 1
63 21 1320.48913574 1
63 21 1335.8671875 1
63 21 1341.56054688 1
63 21 1352.72875977 1
63 21 1367.72338867 1
63 21 1369.59838867 1
63 21 1376.62512207 1
63 21 1387.47705078 1
63 21 1415.02856445 1
63 21 1421.41650391 1
63 21 1423.14611816 1
63 21 1438.828125 1
63 21 1440.07751465 1
63 21 1440.58288574 1
63 21 1461.66418457 1
63 21 1467.78283691 1
63 21 1544.00622559 1
63 21 1573.00073242 1
63 21 1578.69421387 1
