string dom time hits
34 28 4748.19775391 1
34 32 3187.83300781 1
35 23 3187.41601562 1
44 20 2329.84204102 1
44 27 2556.49682617 1
44 28 1519.95935059 1
44 29 1431.82861328 1
44 29 1721.84118652 1
44 29 1864.96289062 1
44 30 1391.90588379 1
44 32 2053.50488281 1
45 21 2174.32568359 1
45 23 1699.5690918 1
45 24 1483.38757324 1
45 24 1614.57775879 1
45 27 1308.51318359 1
45 27 1539.65930176 1
45 27 2098.75 1
45 27 2708.73339844 1
45 28 1359.72607422 1
45 28 1675.59936523 1
45 28 2117.62670898 1
45 29 1364.15258789 1
45 29 1467.02307129 1
45 29 1878.47644043 1
45 29 1961.4083252 1
45 29 2452.29418945 1
45 30 1897.18945312 1
45 30 2020.01342773 1
45 30 2039.8236084 1
45 30 2080.1784668 1
45 30 3130.73608398 1
46 21 2344.04736328 1
46 21 2602.05322266 1
46 22 1681.48681641 1
46 25 1784.6361084 1
46 25 2412.30419922 1
46 26 2543.76586914 1
46 27 2894.37402344 1
46 28 1567.4362793 1
46 28 1596.21081543 1
46 28 1673.11584473 1
46 28 2035.26989746 1
46 29 1886.98669434 1
46 30 1690.51257324 1
47 25 2316.26879883 1
47 29 2611.95849609 1
53 20 2265.38891602 1
53 21 2520.85205078 1
53 23 2760.01782227 1
53 24 1867.9465332 1
53 24 2095.27929688 1
53 25 2507.18457031 1
53 26 1800.12658691 1
53 27 1210.42724609 1
53 27 1376.24987793 1
53 27 1959.57214355 1
53 27 2620.0534668 1
53 28 1253.83093262 1
53 28 1278.51928711 1
53 28 1408.9934082 1
53 28 1463.5736084 1
53 28 1529.08129883 1
53 28 1570.49755859 1
53 28 1962.64282227 1
53 29 1805.38903809 1
53 29 1860.60083008 1
53 29 2000.0378418 1
53 30 2001.05554199 1
53 31 1449.26013184 1
53 31 1449.62463379 1
53 31 2360.28735352 1
53 31 2469.09301758 1
54 18 1521.68322754 1
54 19 1428.13842773 1
54 21 1310.19873047 1
54 21 2586.43066406 1
54 22 1062.68432617 1
54 22 1179.84973145 1
54 22 1192.66052246 1
54 22 1209.75524902 1
54 22 1229.9354248 1
54 22 1260.49475098 1
54 22 1290.61560059 1
54 22 1333.92468262 1
54 22 1352.63000488 1
54 22 1367.70336914 1
54 22 1385.26977539 1
54 22 1504.58776855 1
54 22 1518.59082031 1
54 22 1658.75805664 1
54 22 2214.6484375 1
54 23 1000.5513916 1
54 23 1028.67675781 1
54 23 1082.69348145 1
54 23 1330.50878906 1
54 23 1377.7701416 1
54 23 1400.55529785 1
54 23 1442.78271484 1
54 23 1469.84277344 1
54 23 1588.1583252 1
54 23 1661.76135254 1
54 23 1852.98205566 1
54 23 2377.15625 1
54 24 893.977905273 1
54 24 1062.04162598 1
54 24 1074.77099609 1
54 24 1143.45239258 1
54 24 1366.95141602 1
54 24 1391.16113281 1
54 24 1422.47900391 1
54 24 1454.71972656 1
54 24 1462.25061035 1
54 24 1518.10900879 1
54 24 1653.29736328 1
54 24 1730.72753906 1
54 24 2183.67773438 1
54 25 859.411987305 1
54 25 864.35369873 1
54 25 892.242614746 1
54 25 916.095703125 1
54 25 916.559326172 1
54 25 927.252258301 1
54 25 939.332946777 1
54 25 941.696899414 1
54 25 943.910400391 1
54 25 963.219909668 1
54 25 975.705505371 1
54 25 1065.53625488 1
54 25 1074.28552246 1
54 25 1120.27734375 1
54 25 1120.89245605 1
54 25 1134.7010498 1
54 25 1189.59899902 1
54 25 1216.9206543 1
54 25 1240.94665527 1
54 25 1248.36401367 1
54 25 1273.26269531 1
54 25 1307.72216797 1
54 25 1318.07507324 1
54 25 1333.59863281 1
54 25 1361.09204102 1
54 25 1399.59680176 1
54 25 1433.76416016 1
54 25 1492.92724609 1
54 25 1492.94067383 1
54 25 1496.36486816 1
54 25 1499.58911133 1
54 25 1506.64709473 1
54 25 1578.70349121 1
54 25 1585.75341797 1
54 25 1770.20910645 1
54 25 2426.28540039 1
54 26 781.356262207 1
54 26 782.632141113 1
54 26 784.874938965 1
54 26 796.511901855 1
54 26 806.84185791 1
54 26 815.051452637 1
54 26 825.936218262 1
54 26 836.897644043 1
54 26 842.237426758 1
54 26 843.536560059 1
54 26 843.834777832 1
54 26 860.806213379 1
54 26 860.952331543 1
54 26 861.798339844 1
54 26 874.316040039 1
54 26 887.018005371 1
54 26 894.491455078 1
54 26 898.668212891 1
54 26 899.062866211 1
54 26 906.997375488 1
54 26 916.49420166 1
54 26 928.105895996 1
54 26 937.053955078 1
54 26 938.070678711 1
54 26 946.693664551 1
54 26 955.546630859 1
54 26 956.411010742 1
54 26 961.13092041 1
54 26 977.929016113 1
54 26 984.937133789 1
54 26 988.592895508 1
54 26 1026.9128418 1
54 26 1036.06848145 1
54 26 1039.99389648 1
54 26 1042.54089355 1
54 26 1046.26501465 1
54 26 1047.70739746 1
54 26 1054.33300781 1
54 26 1064.34716797 1
54 26 1066.41845703 1
54 26 1085.52380371 1
54 26 1097.61608887 1
54 26 1100.29858398 1
54 26 1106.48327637 1
54 26 1117.33349609 1
54 26 1124.87585449 1
54 26 1129.9609375 1
54 26 1136.19250488 1
54 26 1151.33508301 1
54 26 1269.44433594 1
54 26 1276.13354492 1
54 26 1279.27307129 1
54 26 1304.59985352 1
54 26 1346.65161133 1
54 26 1360.28161621 1
54 26 1388.2902832 1
54 26 1393.66442871 1
54 26 1429.94128418 1
54 26 1535.75732422 1
54 26 1544.39697266 1
54 26 1592.37683105 1
54 26 1600.58679199 1
54 26 1607.46447754 1
54 26 1812.39160156 1
54 26 1861.89050293 1
54 26 1895.89660645 1
