string dom time hits
34 28 3324.85327148 1
35 29 2455.6237793 1
36 29 2426.90820312 1
45 29 1713.14343262 1
45 29 2213.40625 1
45 32 2124.17626953 1
46 27 3327.00317383 1
46 30 2134.13427734 1
47 29 2823.94213867 1
53 25 2875.07739258 1
53 27 3173.58105469 1
53 28 2283.13818359 1
53 29 1446.20043945 1
53 29 1725.2598877 1
53 29 1753.01721191 1
53 29 2004.02832031 1
54 17 2518.99121094 1
54 21 1974.15551758 1
54 21 2212.11303711 1
54 21 2861.50561523 1
54 24 1355.63476562 1
54 24 1696.64306641 1
54 24 1993.89465332 1
54 25 1264.09912109 1
54 25 1400.27868652 1
54 25 1433.16162109 1
54 25 1581.52111816 1
54 25 1648.91577148 1
54 25 1840.32543945 1
54 25 1899.1270752 1
54 25 1943.16223145 1
54 25 2049.28588867 1
54 25 2116.61230469 1
54 25 2231.62646484 1
54 26 1066.83068848 1
54 26 1086.54931641 1
54 26 1113.84094238 1
54 26 1167.05603027 1
54 26 1198.8572998 1
54 26 1285.56652832 1
54 26 1294.77441406 1
54 26 1481.2956543 1
54 26 1698.59106445 1
54 26 3011.22753906 1
54 26 3059.15600586 1
54 27 820.385070801 1
54 27 919.432006836 1
54 27 931.172546387 1
54 27 954.70703125 1
54 27 1069.92553711 1
54 27 1081.60949707 1
54 27 1096.1796875 1
54 27 1129.00585938 1
54 27 1215.89208984 1
54 27 1246.13525391 1
54 27 1308.20690918 1
54 27 1347.0234375 1
54 27 1375.32067871 1
54 27 1463.81469727 1
54 27 1474.73205566 1
54 27 1527.67333984 1
54 27 1696.30822754 1
54 27 1765.15771484 1
54 27 1834.25024414 1
54 27 2250.16552734 1
54 27 2315.92626953 1
54 27 2505.73193359 1
54 27 2590.91430664 1
54 28 794.195495605 1
54 28 852.07220459 1
54 28 885.989562988 1
54 28 897.656616211 1
54 28 930.4375 1
54 28 935.809020996 1
54 28 945.202453613 1
54 28 950.272033691 1
54 28 990.149719238 1
54 28 1057.17004395 1
54 28 1085.95373535 1
54 28 1097.53320312 1
54 28 1108.6965332 1
54 28 1126.2644043 1
54 28 1220.95849609 1
54 28 1303.20581055 1
54 28 1361.31677246 1
54 28 1425.06970215 1
54 28 1475.74243164 1
54 28 1489.68969727 1
54 28 1555.25244141 1
54 28 1563.39147949 1
54 28 1718.3067627 1
54 28 1735.37451172 1
54 28 2000.94873047 1
54 28 2009.6529541 1
54 29 822.970581055 1
54 29 910.057312012 1
54 29 924.18939209 1
54 29 932.055419922 1
54 29 1069.19921875 1
54 29 1080.63818359 1
54 29 1121.30444336 1
54 29 1144.26867676 1
54 29 1179.23657227 1
54 29 1179.60803223 1
54 29 1197.6652832 1
54 29 1207.83959961 1
54 29 1220.56103516 1
54 29 1234.76062012 1
54 29 1257.32214355 1
54 29 1262.88500977 1
54 29 1272.21179199 1
54 29 1339.77783203 1
54 29 1356.39550781 1
54 29 1394.10266113 1
54 29 1403.16918945 1
54 29 1408.20581055 1
54 29 1413.96618652 1
54 29 1439.26123047 1
54 29 1496.03466797 1
54 29 1533.04003906 1
54 29 1544.88061523 1
54 29 1549.55871582 1
54 29 1573.76013184 1
54 29 1598.76013184 1
54 29 1742.12341309 1
54 29 1794.11279297 1
54 29 2053.0144043 1
54 29 2601.00097656 1
54 30 911.083557129 1
54 30 948.38659668 1
54 30 993.704345703 1
54 30 1004.70727539 1
54 30 1008.9163208 1
54 30 1092.61120605 1
54 30 1096.83154297 1
54 30 1114.60229492 1
54 30 1150.4029541 1
54 30 1258.91845703 1
54 30 1297.67980957 1
54 30 1304.50646973 1
54 30 1345.86706543 1
54 30 1411.66357422 1
54 30 1548.21447754 1
54 30 1567.97436523 1
54 30 1574.9173584 1
54 30 1640.25927734 1
54 30 1818.55932617 1
54 30 1895.0201416 1
54 30 2438.04272461 1
54 31 1064.3326416 1
54 31 1197.77124023 1
54 31 1330.01977539 1
54 31 1485.73632812 1
54 31 1532.02026367 1
54 31 1725.97302246 1
54 31 1835.8059082 1
54 31 1843.32751465 1
54 31 2114.94946289 1
54 32 983.760131836 1
54 32 1554.08605957 1
54 32 1879.48693848 1
54 35 1489.61901855 1
55 22 1682.88037109 1
55 22 1842.07714844 1
55 23 1448.88269043 1
55 23 1570.41491699 1
55 23 2224.62402344 1
55 24 1439.56762695 1
55 24 1673.43286133 1
55 24 1764.94665527 1
55 24 1823.88635254 1
55 25 1121.70849609 1
55 25 1251.82409668 1
55 25 1379.12878418 1
