string dom time hits
27 29 2868.94897461 1
35 28 2650.24560547 1
35 29 3600.3894043 1
43 29 2431.24414062 1
44 25 1504.39135742 1
44 25 2117.47753906 1
44 25 2515.35009766 1
44 27 1613.34777832 1
44 28 1489.78076172 1
44 28 3043.05273438 1
44 29 1588.79443359 1
44 29 1637.58154297 1
44 29 1690.45666504 1
44 29 2056.22680664 1
44 29 2655.60595703 1
45 23 1709.26037598 1
45 23 2932.49731445 1
45 26 1437.19348145 1
45 26 1441.8918457 1
45 26 1805.0456543 1
45 26 1880.68383789 1
45 26 2161.75805664 1
45 26 2343.40991211 1
45 27 1248.40307617 1
45 27 1596.59326172 1
45 28 1258.02539062 1
45 28 1421.43518066 1
45 28 1457.04150391 1
45 28 1568.90185547 1
45 28 1596.70483398 1
45 28 1661.70300293 1
45 28 2292.55957031 1
45 29 1330.07263184 1
45 29 1414.76831055 1
45 29 1414.97216797 1
45 29 1730.00134277 1
45 29 1856.31323242 1
45 30 1510.00878906 1
45 33 1764.82763672 1
46 23 1792.9675293 1
46 23 2733.59936523 1
46 24 2740.35693359 1
46 25 1914.31628418 1
46 27 1711.47009277 1
46 27 1776.9876709 1
46 28 1275.66015625 1
46 28 1558.45861816 1
46 28 1833.84960938 1
46 28 2541.44799805 1
46 29 1791.9855957 1
46 29 1875.93933105 1
46 30 1870.0065918 1
46 30 2036.46105957 1
46 30 2356.4128418 1
46 31 1515.44873047 1
47 29 1787.25769043 1
47 29 2582.21972656 1
53 18 2521.83959961 1
53 20 1566.61462402 1
53 20 1977.55053711 1
53 22 1672.94213867 1
53 23 2109.88256836 1
53 26 2117.81030273 1
53 27 2000.36230469 1
53 27 2028.64379883 1
53 28 2035.75061035 1
53 29 1405.40722656 1
53 29 1426.42321777 1
53 29 1471.27844238 1
53 29 1707.1505127 1
53 29 1815.09143066 1
53 31 1676.88330078 1
54 18 1706.68566895 1
54 19 1389.20251465 1
54 21 1207.28613281 1
54 21 1218.53295898 1
54 21 1794.65136719 1
54 21 1829.05273438 1
54 22 1025.61047363 1
54 22 1090.72351074 1
54 22 1185.58886719 1
54 22 1306.02270508 1
54 22 1319.07202148 1
54 22 1331.64672852 1
54 22 1332.96826172 1
54 22 1372.14331055 1
54 22 1374.39782715 1
54 22 1481.81530762 1
54 22 2061.16967773 1
54 23 998.21307373 1
54 23 1038.49255371 1
54 23 1098.25439453 1
54 23 1143.43945312 1
54 23 1193.71533203 1
54 23 1279.2142334 1
54 23 1634.18457031 1
54 23 1741.8527832 1
54 23 1744.45214844 1
54 23 1888.45874023 1
54 23 2090.8425293 1
54 23 2131.67382812 1
54 23 2310.03393555 1
54 24 1027.77612305 1
54 24 1091.984375 1
54 24 1111.67529297 1
54 24 1170.80737305 1
54 24 1217.98937988 1
54 24 1267.34387207 1
54 24 1380.83483887 1
54 24 1416.1439209 1
54 24 1438.27087402 1
54 24 1478.12915039 1
54 24 1577.30285645 1
54 24 1807.5324707 1
54 24 2125.49658203 1
54 24 2245.5246582 1
54 25 792.620666504 1
54 25 806.28704834 1
54 25 808.332580566 1
54 25 836.037414551 1
54 25 847.270446777 1
54 25 865.692077637 1
54 25 885.956481934 1
54 25 889.708862305 1
54 25 890.284118652 1
54 25 906.801879883 1
54 25 927.648376465 1
54 25 927.649719238 1
54 25 960.660583496 1
54 25 960.668579102 1
54 25 971.677978516 1
54 25 980.58972168 1
54 25 986.753723145 1
54 25 1015.56079102 1
54 25 1020.11468506 1
54 25 1040.7052002 1
54 25 1042.55395508 1
54 25 1059.54162598 1
54 25 1070.18811035 1
54 25 1090.05566406 1
54 25 1104.29260254 1
54 25 1111.01635742 1
54 25 1145.95703125 1
54 25 1153.94628906 1
54 25 1163.93811035 1
54 25 1192.0213623 1
54 25 1212.82446289 1
54 25 1222.30993652 1
54 25 1242.65551758 1
54 25 1304.94177246 1
54 25 1315.03442383 1
54 25 1339.7487793 1
54 25 1420.66894531 1
54 25 1484.30737305 1
54 25 1508.68737793 1
54 25 1512.90161133 1
54 25 1681.52355957 1
54 25 1790.87194824 1
54 25 1867.99499512 1
54 25 1879.57714844 1
54 25 1928.15332031 1
54 26 714.862304688 1
54 26 752.69329834 1
54 26 753.023193359 1
54 26 759.399597168 1
54 26 761.099060059 1
54 26 770.224060059 1
54 26 773.701171875 1
54 26 778.296630859 1
54 26 792.22088623 1
54 26 799.302856445 1
54 26 806.14263916 1
54 26 815.354675293 1
54 26 817.766357422 1
54 26 849.063842773 1
54 26 849.946166992 1
54 26 853.858215332 1
54 26 855.114440918 1
54 26 862.024597168 1
54 26 864.342712402 1
54 26 867.995544434 1
54 26 869.007751465 1
54 26 878.530029297 1
54 26 886.903015137 1
54 26 887.476013184 1
54 26 888.929016113 1
54 26 889.409606934 1
54 26 892.014404297 1
54 26 892.647094727 1
54 26 893.473937988 1
54 26 902.55456543 1
54 26 918.269348145 1
54 26 919.382324219 1
54 26 919.795349121 1
54 26 921.032836914 1
54 26 927.688659668 1
54 26 928.102844238 1
54 26 930.606018066 1
54 26 934.344726562 1
54 26 937.768249512 1
54 26 944.676208496 1
54 26 959.715454102 1
54 26 987.727600098 1
54 26 989.075561523 1
54 26 999.520080566 1
54 26 1012.32562256 1
54 26 1013.07141113 1
54 26 1029.00598145 1
54 26 1034.04724121 1
54 26 1035.69665527 1
54 26 1035.89050293 1
54 26 1046.74255371 1
54 26 1065.84899902 1
54 26 1094.5168457 1
54 26 1095.89074707 1
54 26 1113.90600586 1
54 26 1119.13598633 1
54 26 1144.43469238 1
54 26 1168.34667969 1
54 26 1175.38378906 1
54 26 1201.26501465 1
54 26 1207.52404785 1
54 26 1220.66381836 1
54 26 1260.95935059 1
54 26 1294.92138672 1
54 26 1299.81811523 1
54 26 1472.84484863 1
54 26 1487.26245117 1
54 26 1488.01635742 1
54 26 1531.61584473 1
54 26 1553.66357422 1
54 26 1593.33227539 1
54 26 1605.51525879 1
54 26 1629.02258301 1
54 26 1633.0958252 1
54 26 1684.61584473 1
54 26 1853.34069824 1
54 26 1892.0032959 1
54 26 1992.84887695 1
54 26 2073.26513672 1
54 26 2131.26855469 1
54 26 2614.70043945 1
54 27 665.786437988 1
54 27 680.314880371 1
54 27 693.960327148 1
54 27 697.464599609 1
54 27 702.221008301 1
54 27 709.341796875 1
54 27 709.467834473 1
54 27 732.483825684 1
54 27 735.828369141 1
54 27 736.304992676 1
54 27 746.733093262 1
54 27 773.693481445 1
54 27 773.991210938 1
54 27 783.851501465 1
54 27 789.93963623 1
54 27 790.597106934 1
54 27 798.797668457 1
54 27 799.917541504 1
54 27 808.78717041 1
54 27 814.875244141 1
54 27 823.041992188 1
54 27 823.657531738 1
54 27 827.928710938 1
54 27 830.247009277 1
54 27 841.813110352 1
54 27 842.628356934 1
54 27 844.143554688 1
54 27 847.739685059 1
54 27 850.059631348 1
54 27 851.65826416 1
54 27 857.145996094 1
54 27 860.847045898 1
54 27 873.723205566 1
54 27 892.931030273 1
54 27 904.670471191 1
54 27 904.912963867 1
54 27 908.655822754 1
54 27 910.715087891 1
54 27 913.010986328 1
54 27 916.591308594 1
54 27 927.895935059 1
54 27 934.464782715 1
54 27 937.241027832 1
54 27 938.398803711 1
54 27 941.382995605 1
54 27 942.341064453 1
54 27 944.314880371 1
54 27 948.049987793 1
54 27 971.654907227 1
54 27 978.401611328 1
54 27 978.979553223 1
54 27 994.305664062 1
54 27 1003.17285156 1
54 27 1015.78973389 1
54 27 1017.74853516 1
54 27 1025.36608887 1
54 27 1029.44812012 1
54 27 1067.61462402 1
54 27 1071.83581543 1
54 27 1075.7902832 1
54 27 1079.71948242 1
54 27 1092.88513184 1
54 27 1102.89404297 1
54 27 1104.20288086 1
54 27 1105.07727051 1
54 27 1105.52685547 1
54 27 1116.38061523 1
54 27 1127.85119629 1
54 27 1131.53540039 1
54 27 1164.04956055 1
54 27 1215.84606934 1
54 27 1255.26513672 1
54 27 1257.1875 1
54 27 1260.83605957 1
54 27 1277.35986328 1
54 27 1298.07983398 1
54 27 1311.56274414 1
54 27 1330.12683105 1
54 27 1358.33203125 1
54 27 1391.31555176 1
54 27 1510.00512695 1
54 27 1510.18249512 1
54 27 1527.70812988 1
54 27 1551.32275391 1
54 27 1673.45349121 1
54 27 1712.38903809 1
54 27 1717.79431152 1
54 27 1786.64794922 1
54 27 2566.10498047 1
54 28 670.659057617 1
54 28 687.189880371 1
54 28 700.360778809 1
54 28 706.468200684 1
54 28 710.08996582 1
54 28 711.159851074 1
54 28 712.955688477 1
54 28 715.979492188 1
54 28 717.900268555 1
54 28 722.455932617 1
54 28 728.621032715 1
54 28 734.002258301 1
54 28 735.926452637 1
54 28 737.80279541 1
54 28 741.121398926 1
54 28 741.333129883 1
54 28 744.712646484 1
54 28 760.144042969 1
54 28 765.202148438 1
54 28 767.843505859 1
54 28 769.248657227 1
54 28 775.266601562 1
54 28 775.886108398 1
54 28 792.130065918 1
54 28 792.250793457 1
54 28 801.975219727 1
54 28 804.518066406 1
54 28 807.075744629 1
54 28 807.854858398 1
54 28 809.006103516 1
54 28 809.794799805 1
54 28 811.798706055 1
54 28 820.549682617 1
54 28 821.729553223 1
54 28 822.141052246 1
54 28 833.569396973 1
54 28 836.104492188 1
54 28 836.597961426 1
54 28 843.127929688 1
54 28 845.420776367 1
54 28 845.701293945 1
54 28 880.619567871 1
54 28 891.996704102 1
54 28 894.532531738 1
54 28 897.433959961 1
54 28 901.831359863 1
54 28 903.355529785 1
54 28 911.70513916 1
54 28 913.944152832 1
54 28 919.989990234 1
54 28 935.554931641 1
54 28 938.217407227 1
54 28 939.359802246 1
54 28 945.539672852 1
54 28 956.269470215 1
54 28 958.74230957 1
54 28 968.796020508 1
54 28 970.33782959 1
54 28 977.264526367 1
54 28 977.714477539 1
54 28 980.064086914 1
54 28 980.568725586 1
54 28 992.553955078 1
54 28 1006.17828369 1
54 28 1007.23016357 1
54 28 1011.78430176 1
54 28 1015.11016846 1
54 28 1016.52185059 1
54 28 1018.40765381 1
54 28 1020.60357666 1
54 28 1051.38745117 1
54 28 1077.03857422 1
54 28 1087.00085449 1
54 28 1088.04589844 1
54 28 1117.07104492 1
54 28 1135.86706543 1
54 28 1157.79248047 1
54 28 1174.77124023 1
54 28 1183.82409668 1
54 28 1201.83129883 1
54 28 1206.31506348 1
54 28 1229.59985352 1
54 28 1229.64624023 1
54 28 1240.00170898 1
54 28 1264.65466309 1
54 28 1306.69555664 1
54 28 1322.43444824 1
54 28 1334.80944824 1
54 28 1358.80603027 1
54 28 1381.35717773 1
54 28 1421.95336914 1
54 28 1426.79064941 1
54 28 1439.83422852 1
54 28 1469.15222168 1
54 28 1514.96374512 1
54 28 1542.56213379 1
54 28 1570.44604492 1
54 28 1612.85717773 1
54 28 1614.01428223 1
54 28 1624.19580078 1
54 28 1747.68493652 1
54 28 1859.0423584 1
54 28 2605.08447266 1
54 29 668.733825684 1
54 29 671.949462891 1
54 29 672.222229004 1
54 29 674.836364746 1
54 29 681.711975098 1
54 29 688.099914551 1
54 29 698.29296875 1
54 29 698.574157715 1
54 29 707.381286621 1
54 29 708.194946289 1
54 29 709.819213867 1
54 29 717.007385254 1
54 29 723.031433105 1
54 29 728.383056641 1
54 29 732.674926758 1
54 29 738.713867188 1
54 29 739.805847168 1
54 29 740.608154297 1
54 29 744.191711426 1
54 29 745.514282227 1
54 29 748.417907715 1
54 29 772.797485352 1
54 29 800.767333984 1
54 29 812.921325684 1
54 29 821.334411621 1
54 29 829.872131348 1
54 29 830.968017578 1
54 29 835.321716309 1
54 29 851.975891113 1
54 29 854.097961426 1
54 29 862.686523438 1
54 29 862.911560059 1
54 29 872.330444336 1
54 29 872.365539551 1
54 29 880.462463379 1
54 29 882.303955078 1
54 29 882.386230469 1
54 29 883.666137695 1
54 29 887.027038574 1
54 29 887.956970215 1
54 29 897.030456543 1
54 29 900.377319336 1
54 29 906.428100586 1
54 29 908.196533203 1
54 29 908.616577148 1
54 29 909.397277832 1
54 29 917.470397949 1
54 29 918.619812012 1
54 29 920.605407715 1
54 29 921.361572266 1
54 29 922.459472656 1
54 29 931.78527832 1
54 29 935.715637207 1
54 29 937.901062012 1
54 29 938.570007324 1
54 29 939.094726562 1
54 29 953.420349121 1
54 29 956.202941895 1
54 29 984.215515137 1
54 29 1006.41674805 1
54 29 1006.7623291 1
54 29 1042.4597168 1
54 29 1042.57067871 1
54 29 1048.03149414 1
54 29 1061.76855469 1
54 29 1090.6842041 1
54 29 1097.03955078 1
54 29 1111.1270752 1
54 29 1116.78088379 1
54 29 1117.75732422 1
54 29 1155.59790039 1
54 29 1171.27233887 1
54 29 1172.38110352 1
54 29 1183.64221191 1
54 29 1192.54760742 1
54 29 1203.75598145 1
54 29 1205.86010742 1
54 29 1217.15270996 1
54 29 1225.01477051 1
54 29 1272.12316895 1
54 29 1274.05981445 1
54 29 1276.08605957 1
54 29 1323.42553711 1
54 29 1323.70397949 1
54 29 1366.54345703 1
54 29 1384.91271973 1
54 29 1439.86303711 1
54 29 1495.14331055 1
54 29 1522.58154297 1
54 29 1615.56787109 1
54 29 1628.42822266 1
54 29 1671.75720215 1
54 29 1784.86889648 1
54 29 2207.27929688 1
54 29 2384.83032227 1
54 30 672.70123291 1
54 30 710.273925781 1
54 30 711.095397949 1
54 30 716.514648438 1
54 30 731.333679199 1
54 30 733.875610352 1
54 30 736.560913086 1
54 30 746.98059082 1
54 30 767.634460449 1
54 30 779.364868164 1
54 30 783.732666016 1
54 30 785.733154297 1
54 30 795.953613281 1
54 30 805.906005859 1
54 30 810.028442383 1
54 30 829.464538574 1
54 30 856.788085938 1
54 30 857.303894043 1
54 30 861.861694336 1
54 30 869.180114746 1
54 30 891.976257324 1
54 30 912.132446289 1
54 30 919.759338379 1
54 30 928.51940918 1
54 30 931.421203613 1
54 30 963.515686035 1
54 30 979.676818848 1
54 30 984.078613281 1
54 30 995.15032959 1
54 30 1008.92523193 1
54 30 1024.05334473 1
54 30 1035.29455566 1
54 30 1040.24487305 1
54 30 1066.87316895 1
54 30 1098.79077148 1
54 30 1137.5604248 1
54 30 1146.84423828 1
54 30 1147.26147461 1
54 30 1161.05419922 1
54 30 1170.29858398 1
54 30 1233.81347656 1
54 30 1259.71923828 1
54 30 1277.94750977 1
54 30 1317.74987793 1
54 30 1320.81005859 1
54 30 1347.03198242 1
54 30 1352.76123047 1
54 30 1408.43066406 1
54 30 1428.50927734 1
54 30 1433.7109375 1
54 30 1516.94152832 1
54 30 1528.68469238 1
54 30 1557.07067871 1
54 30 1582.00488281 1
54 30 1636.85839844 1
54 30 1791.40136719 1
54 30 1810.40600586 1
54 30 2019.07861328 1
54 30 2094.33959961 1
54 31 808.846740723 1
54 31 869.672729492 1
54 31 899.858764648 1
54 31 921.344421387 1
54 31 948.271240234 1
54 31 948.788452148 1
54 31 955.784790039 1
54 31 992.327697754 1
54 31 998.41998291 1
54 31 1002.23852539 1
54 31 1067.23876953 1
54 31 1111.23242188 1
54 31 1137.65014648 1
54 31 1144.05236816 1
54 31 1188.90563965 1
54 31 1194.87805176 1
54 31 1196.7322998 1
54 31 1235.24450684 1
54 31 1282.59716797 1
54 31 1324.20837402 1
54 31 1335.78405762 1
54 31 1338.00219727 1
54 31 1353.04272461 1
54 31 1385.26330566 1
54 31 1413.96459961 1
54 31 1416.55871582 1
54 31 1445.86535645 1
54 31 1512.66809082 1
54 31 1606.74316406 1
54 31 1738.34313965 1
54 32 886.769287109 1
54 32 914.100097656 1
54 32 939.719116211 1
54 32 944.596069336 1
54 32 967.183227539 1
54 32 1165.42028809 1
54 32 1204.02148438 1
54 32 1379.66687012 1
54 32 1533.14160156 1
54 32 1855.44213867 1
54 32 1896.38146973 1
54 32 2367.91577148 1
54 33 865.357055664 1
54 33 1233.68920898 1
54 33 2329.64013672 1
55 14 3021.26098633 1
55 18 1591.25219727 1
55 19 1329.23681641 1
55 20 1258.22229004 1
55 20 1646.79467773 1
55 20 1647.79956055 1
55 21 1497.4987793 1
55 22 1151.25720215 1
55 22 1230.47399902 1
55 22 1377.11279297 1
55 22 1617.36523438 1
55 22 1745.80029297 1
55 22 1845.53369141 1
55 22 2333.74121094 1
55 22 2789.24731445 1
55 23 1066.84411621 1
55 23 1111.91088867 1
55 23 1133.68066406 1
55 23 1164.22766113 1
55 23 1181.92980957 1
55 23 1334.58569336 1
55 23 1352.12121582 1
55 23 1354.84204102 1
55 23 1367.57739258 1
55 23 1533.73193359 1
55 23 1730.41992188 1
55 23 2097.13525391 1
55 23 2114.45117188 1
55 24 904.484130859 1
55 24 1089.38378906 1
55 24 1206.30517578 1
55 24 1207.12365723 1
55 24 1213.50622559 1
55 24 1222.53173828 1
55 24 1227.86303711 1
55 24 1319.6607666 1
55 24 1321.48303223 1
55 24 1334.66503906 1
55 24 1369.33837891 1
55 24 1389.62182617 1
55 24 1409.4420166 1
55 24 1552.46203613 1
55 24 1741.13574219 1
55 24 1841.90649414 1
55 25 859.720336914 1
55 25 866.258544922 1
55 25 873.823242188 1
55 25 890.595397949 1
55 25 907.917663574 1
55 25 911.496765137 1
55 25 927.303649902 1
55 25 967.415222168 1
55 25 982.227172852 1
55 25 983.801818848 1
55 25 1137.30273438 1
55 25 1174.02270508 1
55 25 1212.63671875 1
55 25 1219.9107666 1
55 25 1235.4432373 1
55 25 1286.46044922 1
55 25 1438.49963379 1
55 25 1614.98986816 1
55 25 1674.79504395 1
55 25 1696.89660645 1
55 25 2022.25976562 1
55 25 2402.04248047 1
55 26 750.640441895 1
55 26 769.07421875 1
55 26 803.068908691 1
55 26 811.636047363 1
55 26 811.781616211 1
55 26 821.474487305 1
55 26 823.036376953 1
55 26 833.956420898 1
55 26 835.666809082 1
55 26 846.69329834 1
55 26 848.426879883 1
55 26 871.524475098 1
55 26 873.766601562 1
55 26 879.355285645 1
55 26 881.987609863 1
55 26 903.778015137 1
55 26 911.912719727 1
55 26 922.6484375 1
55 26 931.445678711 1
55 26 950.069335938 1
55 26 954.075622559 1
55 26 969.406982422 1
55 26 969.407592773 1
55 26 975.81463623 1
55 26 985.900695801 1
55 26 986.410766602 1
55 26 999.617736816 1
55 26 1010.1260376 1
55 26 1015.30847168 1
55 26 1016.39019775 1
55 26 1037.94055176 1
55 26 1040.66552734 1
55 26 1043.13977051 1
55 26 1066.10021973 1
55 26 1094.20117188 1
55 26 1112.49157715 1
55 26 1124.26586914 1
55 26 1160.75549316 1
55 26 1174.91210938 1
55 26 1180.12573242 1
55 26 1182.7755127 1
55 26 1222.21020508 1
55 26 1223.64331055 1
55 26 1238.78186035 1
55 26 1257.92224121 1
55 26 1261.41882324 1
55 26 1284.19714355 1
55 26 1289.44873047 1
55 26 1335.4329834 1
55 26 1337.13464355 1
55 26 1367.39050293 1
55 26 1404.25622559 1
55 26 1417.38439941 1
55 26 1711.6427002 1
55 26 1849.04968262 1
55 26 2053.25537109 1
55 26 2104.35473633 1
55 27 727.646789551 1
55 27 737.148742676 1
55 27 739.006591797 1
55 27 739.912841797 1
55 27 746.961547852 1
55 27 754.305053711 1
55 27 765.60345459 1
55 27 768.986694336 1
55 27 773.551818848 1
55 27 775.324951172 1
55 27 801.26184082 1
55 27 805.904052734 1
55 27 809.908447266 1
55 27 815.794494629 1
55 27 818.979492188 1
55 27 819.950866699 1
55 27 827.302368164 1
55 27 828.160400391 1
55 27 836.927490234 1
55 27 842.649230957 1
55 27 845.43359375 1
55 27 847.018127441 1
55 27 851.855102539 1
55 27 864.393066406 1
55 27 871.485595703 1
55 27 883.476928711 1
55 27 903.023193359 1
55 27 904.699584961 1
55 27 910.297485352 1
55 27 915.980773926 1
55 27 941.154418945 1
55 27 942.218139648 1
55 27 948.093811035 1
55 27 953.346557617 1
55 27 956.43762207 1
55 27 959.212280273 1
55 27 960.475952148 1
55 27 976.135375977 1
55 27 985.772399902 1
55 27 999.767211914 1
55 27 1001.50146484 1
55 27 1003.88574219 1
55 27 1011.22296143 1
55 27 1026.36987305 1
55 27 1039.63427734 1
55 27 1044.21154785 1
55 27 1051.44543457 1
55 27 1056.15905762 1
55 27 1061.33581543 1
55 27 1065.30639648 1
55 27 1070.29333496 1
55 27 1084.39929199 1
55 27 1112.84228516 1
55 27 1129.03930664 1
55 27 1129.24914551 1
55 27 1163.04309082 1
55 27 1164.12780762 1
55 27 1171.53857422 1
55 27 1189.51745605 1
55 27 1197.44104004 1
55 27 1201.07165527 1
55 27 1202.07995605 1
55 27 1218.58789062 1
55 27 1259.83959961 1
55 27 1263.40283203 1
55 27 1275.32470703 1
55 27 1312.38012695 1
55 27 1331.60302734 1
55 27 1413.39294434 1
55 27 1442.90795898 1
55 27 1455.15649414 1
55 27 1542.1809082 1
55 27 1578.61694336 1
55 27 1601.5357666 1
55 27 1619.55688477 1
55 27 1653.93713379 1
55 27 1726.63061523 1
55 27 1737.0559082 1
55 27 1766.14074707 1
55 27 1842.22253418 1
55 27 1843.23706055 1
55 27 1845.68664551 1
55 27 1862.59008789 1
55 27 1882.7409668 1
55 27 1903.94714355 1
55 27 1974.74707031 1
55 27 2002.67077637 1
55 27 2202.77783203 1
55 27 2687.45605469 1
55 28 673.145507812 1
55 28 687.938293457 1
55 28 696.263366699 1
55 28 711.834472656 1
55 28 724.130859375 1
55 28 732.910644531 1
55 28 748.405700684 1
55 28 756.481872559 1
55 28 762.745483398 1
55 28 764.006164551 1
55 28 767.13873291 1
55 28 769.851074219 1
55 28 769.926879883 1
55 28 775.762451172 1
55 28 777.124084473 1
55 28 780.888977051 1
55 28 786.97253418 1
55 28 791.363464355 1
55 28 801.341064453 1
55 28 806.417663574 1
55 28 811.772399902 1
55 28 821.113586426 1
55 28 821.480957031 1
55 28 825.294311523 1
55 28 828.434509277 1
55 28 832.613037109 1
55 28 835.935424805 1
55 28 837.309814453 1
55 28 841.805908203 1
55 28 843.234069824 1
55 28 845.038635254 1
55 28 845.06439209 1
55 28 859.663146973 1
55 28 862.075927734 1
55 28 866.700927734 1
55 28 880.257629395 1
55 28 887.580444336 1
55 28 889.856018066 1
55 28 896.092285156 1
55 28 915.947265625 1
55 28 916.157104492 1
55 28 918.451660156 1
55 28 921.835083008 1
55 28 930.415893555 1
55 28 938.049865723 1
55 28 944.139770508 1
55 28 950.017883301 1
55 28 956.527404785 1
55 28 966.594055176 1
55 28 968.198547363 1
55 28 973.751831055 1
55 28 984.724182129 1
55 28 986.532348633 1
55 28 1026.95397949 1
55 28 1042.06604004 1
55 28 1046.09594727 1
55 28 1049.55419922 1
55 28 1049.98913574 1
55 28 1057.86071777 1
55 28 1096.69604492 1
55 28 1112.98413086 1
