string dom time hits
27 29 2868.94897461 1
34 29 2430.68579102 1
34 30 3372.72705078 1
44 21 3508.36767578 1
44 23 2152.02075195 1
44 27 2674.09472656 1
44 28 1823.85949707 1
44 29 1786.88745117 1
44 31 2775.49243164 1
45 23 1709.26696777 1
45 23 1823.56958008 1
45 24 1896.3894043 1
45 26 1687.46398926 1
45 26 1700.17651367 1
45 27 1713.87927246 1
45 27 1970.79699707 1
45 28 1304.97314453 1
45 28 1717.58032227 1
45 28 1919.39672852 1
45 28 2292.55957031 1
45 29 1187.07751465 1
45 29 1216.58544922 1
45 29 1294.02270508 1
45 29 1414.76831055 1
45 29 1414.97216797 1
45 29 2167.96459961 1
45 30 1177.13354492 1
45 30 1315.7232666 1
45 30 1457.38330078 1
45 30 1520.45117188 1
45 30 1859.01782227 1
45 31 1540.6270752 1
46 24 1761.5559082 1
46 24 2291.07543945 1
46 24 2740.35693359 1
46 25 2527.92431641 1
46 27 2109.86791992 1
46 28 1275.66015625 1
46 28 2778.20288086 1
46 29 1684.95690918 1
46 29 1831.88110352 1
46 29 2576.24951172 1
46 29 3367.28808594 1
46 30 1946.82263184 1
46 30 2158.4362793 1
46 30 2411.08300781 1
47 27 2159.69604492 1
53 18 2521.83959961 1
53 22 2451.86474609 1
53 23 1489.97473145 1
53 25 1495.57141113 1
53 25 1518.06555176 1
53 25 1970.31433105 1
53 27 1319.91271973 1
53 27 2056.46899414 1
53 27 2860.96679688 1
53 28 1419.25146484 1
53 28 1748.28308105 1
53 28 2279.84277344 1
53 28 3218.20703125 1
53 29 1189.7331543 1
53 29 1196.02636719 1
53 29 1639.90270996 1
53 30 2115.34326172 1
53 31 1569.20703125 1
53 34 1941.72351074 1
54 19 1832.54797363 1
54 20 1834.46606445 1
54 20 1948.76745605 1
54 20 2297.20605469 1
54 21 1265.99438477 1
54 21 1295.40222168 1
54 21 2135.60644531 1
54 21 2902.63208008 1
54 22 1030.27929688 1
54 22 1042.85852051 1
54 22 1216.58679199 1
54 22 1260.58154297 1
54 22 1370.37182617 1
54 22 1374.39782715 1
54 22 1443.15222168 1
54 22 1527.06359863 1
54 22 1679.34741211 1
54 22 1734.90661621 1
54 23 1039.59301758 1
54 23 1066.2442627 1
54 23 1089.06774902 1
54 23 1139.2487793 1
54 23 1173.08129883 1
54 23 1430.38830566 1
54 23 1446.17614746 1
54 23 1634.15527344 1
54 23 1790.58703613 1
54 23 1812.84191895 1
54 23 1957.38024902 1
54 23 2009.63146973 1
54 23 2041.875 1
54 24 874.253356934 1
54 24 942.251708984 1
54 24 955.060791016 1
54 24 1004.97424316 1
54 24 1097.89526367 1
54 24 1180.94396973 1
54 24 1205.28198242 1
54 24 1245.61523438 1
54 24 1284.28161621 1
54 24 1301.20935059 1
54 24 1493.85241699 1
54 25 917.015136719 1
54 25 928.164367676 1
54 25 957.691040039 1
54 25 983.68939209 1
54 25 1011.93292236 1
54 25 1021.79467773 1
54 25 1028.11962891 1
54 25 1028.3659668 1
54 25 1043.68774414 1
54 25 1086.31481934 1
54 25 1112.88317871 1
54 25 1119.10217285 1
54 25 1150.56774902 1
54 25 1165.73205566 1
54 25 1174.95678711 1
54 25 1180.71618652 1
54 25 1201.24560547 1
54 25 1264.44580078 1
54 25 1283.17578125 1
54 25 1302.6151123 1
54 25 1316.24060059 1
54 25 1323.99121094 1
54 25 1404.74536133 1
54 25 1413.19445801 1
54 25 1414.68896484 1
54 25 1486.07141113 1
54 25 1493.89770508 1
54 25 1559.39538574 1
54 25 1567.87426758 1
54 25 1582.17004395 1
54 25 1669.60681152 1
54 25 1678.70251465 1
54 25 1795.52441406 1
54 25 1867.99499512 1
54 25 1869.70812988 1
54 25 2061.18457031 1
54 25 2216.64916992 1
54 26 730.241271973 1
54 26 760.071716309 1
54 26 770.239074707 1
54 26 780.394348145 1
54 26 782.664428711 1
54 26 786.937072754 1
54 26 798.230163574 1
54 26 799.302856445 1
54 26 815.354675293 1
54 26 827.727966309 1
54 26 830.234375 1
54 26 849.063842773 1
54 26 855.141296387 1
54 26 862.426391602 1
54 26 865.017944336 1
54 26 878.530029297 1
54 26 884.753601074 1
54 26 887.258422852 1
54 26 894.614379883 1
54 26 896.801269531 1
54 26 901.276733398 1
54 26 902.55456543 1
54 26 922.506591797 1
54 26 941.905273438 1
54 26 950.925476074 1
54 26 963.675598145 1
54 26 987.554626465 1
54 26 990.036499023 1
54 26 1003.16571045 1
54 26 1006.32293701 1
54 26 1010.98071289 1
54 26 1015.21478271 1
54 26 1023.24884033 1
54 26 1024.65454102 1
54 26 1034.00280762 1
54 26 1045.76989746 1
54 26 1050.41210938 1
54 26 1052.13269043 1
54 26 1067.52160645 1
54 26 1078.62268066 1
54 26 1096.02075195 1
54 26 1099.00219727 1
54 26 1105.70788574 1
54 26 1106.37280273 1
54 26 1120.88513184 1
54 26 1122.79614258 1
54 26 1140.87939453 1
54 26 1144.15917969 1
54 26 1144.51721191 1
54 26 1166.70593262 1
54 26 1201.82617188 1
54 26 1220.47351074 1
54 26 1261.0255127 1
54 26 1318.20495605 1
54 26 1330.34753418 1
54 26 1340.04345703 1
54 26 1523.92138672 1
54 26 1534.7890625 1
54 26 1598.26147461 1
54 26 1614.24645996 1
54 26 1751.06408691 1
54 26 1782.11169434 1
54 26 2070.63842773 1
54 27 713.151123047 1
54 27 714.549804688 1
54 27 727.642822266 1
54 27 733.70904541 1
54 27 735.448547363 1
54 27 736.672119141 1
54 27 746.948486328 1
54 27 755.159118652 1
54 27 761.156677246 1
54 27 763.084289551 1
54 27 772.818359375 1
54 27 773.430297852 1
54 27 782.130249023 1
54 27 783.401428223 1
54 27 785.97644043 1
54 27 786.956481934 1
54 27 787.651611328 1
54 27 790.471801758 1
54 27 800.622375488 1
54 27 801.47467041 1
54 27 808.771850586 1
54 27 816.368835449 1
54 27 816.416564941 1
54 27 816.79095459 1
54 27 819.719970703 1
54 27 828.559448242 1
54 27 835.363220215 1
54 27 836.94152832 1
54 27 840.17010498 1
54 27 842.987548828 1
54 27 848.520996094 1
54 27 852.258544922 1
54 27 853.338012695 1
54 27 863.599975586 1
54 27 867.164306641 1
54 27 869.262512207 1
54 27 878.286682129 1
54 27 884.390136719 1
54 27 893.664245605 1
54 27 897.519592285 1
54 27 899.849487305 1
54 27 907.798339844 1
54 27 910.715087891 1
54 27 918.07611084 1
54 27 918.561950684 1
54 27 926.583312988 1
54 27 926.845031738 1
54 27 938.398803711 1
54 27 938.653381348 1
54 27 940.315429688 1
54 27 941.759521484 1
54 27 943.924865723 1
54 27 975.84197998 1
54 27 987.894958496 1
54 27 1001.99523926 1
54 27 1004.09985352 1
54 27 1008.78521729 1
54 27 1013.3371582 1
54 27 1017.74853516 1
54 27 1017.91168213 1
54 27 1025.92834473 1
54 27 1053.19799805 1
54 27 1054.58508301 1
54 27 1054.88439941 1
54 27 1057.0925293 1
54 27 1066.55810547 1
54 27 1067.96191406 1
54 27 1103.29626465 1
54 27 1120.55969238 1
54 27 1125.1640625 1
54 27 1133.52050781 1
54 27 1136.30822754 1
54 27 1160.80810547 1
54 27 1178.62158203 1
54 27 1191.76306152 1
54 27 1199.43115234 1
54 27 1205.65002441 1
54 27 1243.63708496 1
54 27 1247.96289062 1
54 27 1316.89196777 1
54 27 1342.73498535 1
54 27 1377.07653809 1
54 27 1381.48193359 1
54 27 1438.99206543 1
54 27 1468.50048828 1
54 27 1535.49780273 1
54 27 1593.04162598 1
54 27 1602.22814941 1
54 27 2093.63500977 1
54 27 2199.13037109 1
54 28 670.382507324 1
54 28 673.127197266 1
54 28 693.888061523 1
54 28 697.556030273 1
54 28 700.085388184 1
54 28 706.775695801 1
54 28 710.403137207 1
54 28 710.468261719 1
54 28 714.089050293 1
54 28 722.455932617 1
54 28 726.509155273 1
54 28 740.710693359 1
54 28 753.845336914 1
54 28 759.987548828 1
54 28 760.327026367 1
54 28 763.043823242 1
54 28 769.65625 1
54 28 775.266601562 1
54 28 777.400939941 1
54 28 785.989807129 1
54 28 786.461181641 1
54 28 786.670837402 1
54 28 792.305725098 1
54 28 820.555664062 1
54 28 822.141052246 1
54 28 825.456054688 1
54 28 828.693603516 1
54 28 830.527709961 1
54 28 836.104492188 1
