string dom time hits
45 29 1876.10546875 1
45 32 2048.58911133 1
53 24 1924.88232422 1
53 29 1650.37585449 1
54 18 1465.00244141 1
54 20 1276.16040039 1
54 20 2149.97045898 1
54 24 825.58416748 1
54 24 878.134643555 1
54 26 826.483337402 1
54 26 962.321594238 1
54 27 670.491088867 1
54 27 905.724182129 1
54 27 981.3203125 1
54 27 1169.91503906 1
54 27 1455.51513672 1
54 27 2402.24731445 1
54 28 691.16784668 1
54 28 724.424560547 1
54 28 747.218078613 1
54 28 806.579956055 1
54 28 835.615356445 1
54 28 845.416137695 1
54 28 879.773132324 1
54 28 893.509338379 1
54 28 948.892150879 1
54 28 996.085083008 1
54 28 1076.10131836 1
54 29 739.344238281 1
54 29 754.022094727 1
54 29 864.804260254 1
54 29 903.047729492 1
54 29 918.333496094 1
54 29 1094.43920898 1
54 29 2698.72900391 1
54 30 656.772155762 1
54 30 796.514526367 1
54 30 1398.9140625 1
54 30 1698.27734375 1
54 31 960.562866211 1
54 31 1143.26086426 1
54 31 1278.38232422 1
54 31 1312.32910156 1
54 32 2241.37109375 1
55 23 1404.91113281 1
55 23 1744.20092773 1
55 23 1980.96252441 1
55 24 2913.21826172 1
55 25 996.936340332 1
55 26 875.733520508 1
55 26 1052.59228516 1
55 26 1334.48474121 1
55 26 1457.07006836 1
55 27 760.258422852 1
55 27 1038.72583008 1
55 27 1067.47302246 1
55 27 1180.6204834 1
55 27 1242.53125 1
55 27 1545.50561523 1
55 27 1615.09008789 1
55 28 838.816772461 1
55 28 863.878234863 1
55 28 891.006164551 1
55 29 639.290283203 1
55 29 820.054992676 1
55 29 903.133117676 1
55 29 936.142578125 1
55 29 1036.97253418 1
55 29 1060.16491699 1
55 29 1226.01098633 1
55 29 1236.31018066 1
55 29 1276.11816406 1
55 29 1616.86975098 1
55 29 1649.94445801 1
55 30 655.098327637 1
55 30 674.82598877 1
55 30 799.700744629 1
55 30 899.396057129 1
55 30 1378.72814941 1
55 31 951.445007324 1
55 31 1110.26306152 1
55 31 1613.30053711 1
55 33 1277.72290039 1
56 27 3148.3059082 1
61 26 2062.95043945 1
61 29 1551.36608887 1
62 24 1072.49914551 1
62 25 1337.44519043 1
62 25 2336.73901367 1
62 26 692.409729004 1
62 26 870.318115234 1
62 26 914.881774902 1
62 26 1101.01000977 1
62 26 1414.6015625 1
62 27 705.106933594 1
62 27 812.434387207 1
62 27 818.102722168 1
62 27 829.258850098 1
62 27 1006.88372803 1
62 27 1071.52685547 1
62 27 1212.23742676 1
62 28 741.617919922 1
62 28 785.139892578 1
62 28 809.206481934 1
62 28 820.262573242 1
62 28 910.478210449 1
62 28 930.64630127 1
62 28 958.53338623 1
62 28 1203.54125977 1
62 28 1518.25463867 1
62 28 1561.20678711 1
62 28 1719.76391602 1
62 29 687.500976562 1
62 29 900.316467285 1
62 29 917.657348633 1
62 29 1117.87390137 1
62 29 1237.15783691 1
62 30 757.149658203 1
62 30 849.048828125 1
62 30 881.842773438 1
62 30 1037.94262695 1
62 30 1186.64978027 1
62 30 1451.50671387 1
62 31 832.066101074 1
62 31 1163.80603027 1
62 34 1709.09399414 1
63 18 1468.60791016 1
63 20 1915.70373535 1
63 21 792.358398438 1
63 21 931.940124512 1
63 21 953.416381836 1
63 21 1446.42553711 1
63 21 1716.6496582 1
63 21 2717.00195312 1
63 22 703.437133789 1
63 22 759.244506836 1
63 22 791.808288574 1
63 22 821.168212891 1
63 22 882.915344238 1
63 22 956.482788086 1
63 23 608.256103516 1
63 23 625.844970703 1
63 23 653.147644043 1
63 23 716.929382324 1
63 23 721.710021973 1
63 23 829.716308594 1
63 23 848.420227051 1
63 23 925.626403809 1
63 23 1040.95703125 1
63 23 1077.98449707 1
63 23 1083.21411133 1
63 24 562.427856445 1
63 24 570.930725098 1
63 24 573.663391113 1
63 24 585.888793945 1
63 24 596.207885742 1
63 24 602.953430176 1
63 24 606.592834473 1
63 24 608.797607422 1
63 24 612.456237793 1
63 24 649.772827148 1
63 24 652.604125977 1
63 24 670.330505371 1
63 24 702.382141113 1
63 24 726.293884277 1
63 24 805.87713623 1
63 24 815.989990234 1
63 24 1017.52587891 1
63 24 1037.93920898 1
63 25 425.094024658 1
63 25 425.319091797 1
63 25 428.658538818 1
63 25 431.938964844 1
63 25 435.712738037 1
63 25 439.359161377 1
63 25 447.193878174 1
63 25 452.473022461 1
63 25 459.964660645 1
63 25 470.273803711 1
63 25 470.736083984 1
63 25 474.178527832 1
63 25 478.294830322 1
63 25 480.015716553 1
63 25 481.15032959 1
63 25 501.465881348 1
63 25 520.01763916 1
63 25 526.05480957 1
63 25 531.510864258 1
63 25 543.444396973 1
63 25 550.811828613 1
63 25 569.418212891 1
63 25 599.085327148 1
63 25 602.617675781 1
63 25 608.094055176 1
63 25 619.568664551 1
63 25 621.723571777 1
63 25 649.381103516 1
63 25 653.537780762 1
63 25 662.003112793 1
63 25 682.286682129 1
63 25 709.091308594 1
63 25 709.557739258 1
63 25 769.650390625 1
63 25 803.75390625 1
63 25 837.303833008 1
63 25 857.458984375 1
63 25 869.838684082 1
