string dom time hits
44 20 3538.23535156 1
44 26 1497.40026855 1
44 28 1727.21508789 1
44 28 2858.22436523 1
44 29 3257.01660156 1
44 30 3140.94726562 1
45 21 2907.6652832 1
45 22 1589.33154297 1
45 23 1758.3815918 1
45 24 1458.28759766 1
45 25 1982.29394531 1
45 26 1717.95410156 1
45 27 1356.69152832 1
45 27 1394.10888672 1
45 27 1402.22900391 1
45 27 1402.69567871 1
45 28 1463.11242676 1
45 28 1615.8145752 1
45 28 1870.70275879 1
45 28 1924.05749512 1
45 29 1372.43127441 1
45 29 1403.43554688 1
45 29 1556.20837402 1
45 29 1994.32885742 1
45 30 1738.69873047 1
45 30 1848.21252441 1
45 31 2707.84887695 1
45 32 1651.13415527 1
45 32 2475.15307617 1
45 33 1655.0682373 1
46 27 2021.23608398 1
46 28 1435.40844727 1
46 29 1873.05285645 1
46 29 1897.64196777 1
46 30 2054.15600586 1
47 23 2382.36010742 1
53 23 1600.2779541 1
53 25 1691.01989746 1
53 26 1320.57348633 1
53 26 1985.87121582 1
53 27 1445.1439209 1
53 27 1694.64794922 1
53 28 1211.2947998 1
53 28 1217.39916992 1
53 28 1279.515625 1
53 28 1408.31066895 1
53 28 1410.38146973 1
53 28 1514.91992188 1
53 28 1601.09863281 1
53 28 1865.72607422 1
53 28 2551.11547852 1
53 29 1711.48327637 1
53 29 1786.81958008 1
53 30 1756.50634766 1
53 30 1870.93054199 1
53 30 1911.22412109 1
53 30 2028.57385254 1
53 30 2125.12866211 1
53 30 2845.83056641 1
53 32 2865.19116211 1
54 19 2402.78271484 1
54 20 1659.05200195 1
54 20 2482.29760742 1
54 21 1080.29052734 1
54 21 1246.65148926 1
54 21 1282.75280762 1
54 21 1311.00769043 1
54 21 1855.68334961 1
54 21 1921.27624512 1
54 21 1922.82702637 1
54 22 1292.06469727 1
54 22 1296.07580566 1
54 22 1434.85314941 1
54 22 1693.86669922 1
54 22 1746.87365723 1
54 22 1873.43383789 1
54 22 1937.79064941 1
54 22 2472.51953125 1
54 23 1190.10253906 1
54 23 1207.42749023 1
54 23 1299.74365234 1
54 23 1332.29321289 1
54 23 1416.20690918 1
54 23 1647.66247559 1
54 23 1695.68054199 1
54 23 1697.40942383 1
