string dom time hits
45 28 1944.88220215 1
53 32 1673.84899902 1
54 24 1519.07189941 1
54 25 1497.72290039 1
54 28 797.426940918 1
54 30 740.627197266 1
54 31 805.603088379 1
54 31 850.735839844 1
55 28 810.356628418 1
55 28 1189.21862793 1
55 30 1305.57006836 1
55 31 927.258911133 1
62 25 1701.18273926 1
62 26 1603.76196289 1
62 28 871.980041504 1
62 29 859.789367676 1
62 33 1265.50354004 1
63 22 957.459106445 1
63 25 496.509368896 1
63 25 606.792602539 1
63 25 696.303100586 1
63 25 700.714416504 1
63 25 718.758911133 1
63 25 773.155395508 1
63 25 989.237792969 1
63 25 1030.09094238 1
63 26 349.927124023 1
63 26 374.589508057 1
63 26 436.744659424 1
63 26 439.105621338 1
63 26 484.886474609 1
63 26 512.617431641 1
63 26 613.222290039 1
63 26 731.696960449 1
63 26 772.929199219 1
63 26 1005.72717285 1
63 27 269.907470703 1
63 27 278.43371582 1
63 27 316.130249023 1
63 27 321.133117676 1
63 27 321.207275391 1
63 27 321.602050781 1
63 27 327.359954834 1
63 27 340.609771729 1
63 27 342.386749268 1
63 27 352.395751953 1
63 27 362.87210083 1
63 27 372.289978027 1
63 27 377.806762695 1
63 27 383.546234131 1
63 27 398.324859619 1
63 27 402.800018311 1
63 27 409.780822754 1
63 27 433.662719727 1
63 27 434.835632324 1
63 27 495.662719727 1
63 27 573.977294922 1
63 27 604.79864502 1
63 27 630.101501465 1
63 27 773.072692871 1
63 27 1015.77313232 1
63 28 171.036483765 1
63 28 183.912994385 1
63 28 213.595977783 1
63 28 214.834915161 1
63 28 235.475387573 1
63 28 245.250045776 1
63 28 246.479904175 1
63 28 247.026107788 1
63 28 251.015014648 1
63 28 253.007339478 1
63 28 254.993621826 1
63 28 265.716033936 1
63 28 268.578338623 1
63 28 270.396484375 1
63 28 291.409210205 1
63 28 291.498474121 1
63 28 293.85168457 1
63 28 294.491699219 1
63 28 297.370697021 1
63 28 301.46697998 1
63 28 342.476989746 1
63 28 361.786102295 1
63 28 373.062713623 1
63 28 387.468841553 1
63 28 419.522918701 1
63 28 454.326019287 1
63 28 541.597167969 1
63 28 743.829711914 1
63 28 1758.19262695 1
63 29 97.2609863281 1
63 29 98.8731994629 1
63 29 102.551322937 1
63 29 103.362258911 1
63 29 103.454284668 1
63 29 103.575370789 1
63 29 104.619522095 1
63 29 107.580039978 1
63 29 108.56300354 1
63 29 109.231842041 1
63 29 110.256103516 1
63 29 110.716461182 1
63 29 112.852264404 1
63 29 113.766937256 1
63 29 115.9765625 1
63 29 117.379989624 1
63 29 120.928794861 1
63 29 120.949165344 1
63 29 123.337142944 1
63 29 128.86138916 1
63 29 129.240219116 1
63 29 130.348526001 1
63 29 130.536483765 1
63 29 131.434570312 1
63 29 133.173339844 1
63 29 133.767807007 1
63 29 134.15612793 1
63 29 134.84324646 1
63 29 135.274581909 1
63 29 135.467025757 1
63 29 135.714065552 1
63 29 136.330276489 1
63 29 136.524795532 1
63 29 138.61756897 1
63 29 138.927536011 1
63 29 139.149002075 1
63 29 139.548187256 1
63 29 142.118392944 1
63 29 142.251800537 1
63 29 144.257263184 1
63 29 145.63722229 1
63 29 145.939651489 1
63 29 146.124725342 1
63 29 146.626327515 1
63 29 146.915786743 1
63 29 147.251449585 1
63 29 148.183181763 1
63 29 148.292602539 1
63 29 150.576553345 1
63 29 151.443237305 1
63 29 151.522460938 1
63 29 152.774230957 1
63 29 157.163269043 1
63 29 159.946777344 1
63 29 161.92741394 1
