string dom time hits
43 29 2278.15014648 1
44 21 2275.03759766 1
44 22 2130.18505859 1
44 24 3481.12182617 1
44 25 1906.1739502 1
44 26 1390.85949707 1
44 26 2090.44384766 1
44 26 2563.88964844 1
44 27 1829.08728027 1
44 27 1833.16992188 1
44 27 2519.94628906 1
44 28 1798.83666992 1
44 29 1392.60400391 1
44 29 1433.34204102 1
44 29 1452.6262207 1
44 29 1855.54614258 1
44 29 2168.23608398 1
44 29 2626.30859375 1
44 29 2801.55664062 1
44 30 2080.6315918 1
44 31 1854.3145752 1
45 17 2992.76806641 1
45 19 1945.65087891 1
45 21 1680.83007812 1
45 22 2705.74047852 1
45 23 2428.31469727 1
45 24 1394.01806641 1
45 24 2927.45458984 1
45 25 1452.43640137 1
45 25 1706.74328613 1
45 25 1857.8104248 1
45 26 1406.89587402 1
45 26 1629.56005859 1
45 26 1646.21716309 1
45 26 2036.65625 1
45 26 2065.01635742 1
45 26 2255.93823242 1
45 27 1257.64245605 1
45 27 1269.18676758 1
45 27 1286.21337891 1
45 27 1346.77722168 1
45 27 1471.97766113 1
45 27 1481.81115723 1
45 27 1483.33422852 1
45 27 1795.49438477 1
45 27 1836.14013672 1
45 27 1849.14208984 1
45 27 1943.51867676 1
45 27 1999.78308105 1
45 28 1262.78308105 1
45 28 1386.64001465 1
45 28 1486.83630371 1
45 28 1532.0847168 1
45 28 1614.1652832 1
45 28 1615.95129395 1
45 28 1709.39611816 1
45 28 1709.75512695 1
45 28 1808.99731445 1
45 28 2241.6730957 1
45 29 1216.21386719 1
45 29 1267.63830566 1
45 29 1303.23999023 1
45 29 1393.04589844 1
45 29 1588.20349121 1
45 29 1588.25537109 1
45 29 1606.93432617 1
45 29 1631.75830078 1
45 29 1669.02124023 1
45 29 1697.28430176 1
45 29 1699.24389648 1
45 29 1721.5333252 1
45 29 1890.47070312 1
45 29 1948.77697754 1
45 29 2389.67089844 1
45 30 1192.23852539 1
45 30 1367.57336426 1
45 30 1651.96044922 1
45 30 2220.21875 1
45 30 2475.44116211 1
45 31 1347.69445801 1
45 31 1831.61291504 1
45 32 1547.42041016 1
45 33 1504.99499512 1
46 18 2503.93920898 1
46 24 2114.07983398 1
46 24 2285.68603516 1
46 26 1658.74963379 1
46 26 1922.61499023 1
46 27 1754.14770508 1
46 27 2048.1965332 1
46 27 2074.58007812 1
46 28 1702.67333984 1
46 28 1928.0579834 1
46 28 2317.89990234 1
46 29 1612.66455078 1
46 29 1748.4095459 1
46 29 1813.26696777 1
46 29 1973.97583008 1
46 29 2277.03466797 1
46 29 2534.11987305 1
46 31 2372.80908203 1
46 31 3096.34057617 1
47 21 2070.93920898 1
47 26 3085.38574219 1
47 30 3144.38549805 1
53 18 2510.81689453 1
53 23 1885.23095703 1
53 24 1849.82189941 1
53 24 1911.93237305 1
53 24 2001.02905273 1
53 24 3494.95532227 1
53 25 1438.53112793 1
53 25 1446.69189453 1
53 25 1659.24645996 1
53 25 3197.54199219 1
53 26 1236.42407227 1
53 26 1417.59106445 1
53 26 1606.88757324 1
53 26 1712.08898926 1
53 27 1187.88244629 1
53 27 1296.18322754 1
53 27 1340.6295166 1
53 27 1407.79931641 1
53 27 1448.8092041 1
53 27 1830.33447266 1
53 28 1236.45861816 1
53 28 1451.35949707 1
53 28 1501.62390137 1
53 28 1511.32092285 1
53 28 1636.79638672 1
53 28 1696.75256348 1
53 28 2094.484375 1
53 28 2096.45068359 1
53 28 2251.95458984 1
53 28 2412.27490234 1
53 28 2683.82861328 1
53 29 1263.62719727 1
53 29 1327.55419922 1
53 29 1342.4934082 1
53 29 1372.6418457 1
53 29 1443.96496582 1
53 29 1487.17224121 1
53 29 1534.64733887 1
53 29 1557.83300781 1
53 29 1733.5501709 1
53 29 2064.98999023 1
53 30 1229.90209961 1
53 30 1580.77539062 1
53 30 2272.96191406 1
53 32 1972.89306641 1
53 33 1635.32788086 1
54 17 1769.8684082 1
54 17 2069.38476562 1
54 17 3652.14575195 1
54 19 1386.66027832 1
54 19 1415.76831055 1
54 19 1507.42114258 1
54 20 1321.57519531 1
54 20 1501.30224609 1
54 20 1626.5559082 1
54 20 1627.32312012 1
54 20 1675.55090332 1
54 20 1683.97790527 1
54 20 1735.81066895 1
54 20 1943.21032715 1
54 20 2018.6003418 1
54 20 2022.32287598 1
54 21 1143.39868164 1
54 21 1154.75134277 1
54 21 1163.27990723 1
54 21 1256.66870117 1
54 21 1327.66149902 1
54 21 1726.07080078 1
54 21 1904.76123047 1
54 21 2362.51489258 1
54 22 1131.99963379 1
54 22 1158.98681641 1
54 22 1190.03869629 1
54 22 1219.18591309 1
54 22 1275.5456543 1
54 22 1276.58374023 1
54 22 1329.8885498 1
54 22 1359.16918945 1
54 22 1470.96398926 1
54 22 1552.50500488 1
54 22 1626.78222656 1
54 22 1760.78552246 1
54 22 2081.21557617 1
54 22 4170.078125 1
54 23 960.971374512 1
54 23 974.989501953 1
54 23 1034.2076416 1
54 23 1056.70776367 1
54 23 1094.35083008 1
54 23 1129.08776855 1
54 23 1225.38439941 1
54 23 1241.35705566 1
54 23 1263.36315918 1
54 23 1312.2487793 1
54 23 1388.37109375 1
54 23 1409.32641602 1
54 23 1581.10095215 1
54 23 1723.90063477 1
54 23 1761.21447754 1
54 23 2249.33129883 1
54 23 2672.7734375 1
54 23 3015.16674805 1
54 24 851.984130859 1
54 24 885.089111328 1
54 24 892.444335938 1
54 24 937.3359375 1
54 24 955.17755127 1
54 24 975.717712402 1
54 24 978.992248535 1
54 24 984.204772949 1
54 24 1005.40032959 1
54 24 1008.28540039 1
54 24 1021.05725098 1
54 24 1031.82287598 1
54 24 1033.16247559 1
54 24 1045.50146484 1
54 24 1047.69934082 1
54 24 1053.89147949 1
54 24 1056.38757324 1
54 24 1100.98449707 1
54 24 1116.24853516 1
54 24 1128.04016113 1
54 24 1132.62854004 1
54 24 1140.17993164 1
54 24 1193.09899902 1
54 24 1270.00073242 1
54 24 1276.42810059 1
54 24 1364.41552734 1
54 24 1373.06555176 1
54 24 1423.71057129 1
54 24 1438.73474121 1
54 24 1492.16308594 1
54 24 1517.28369141 1
54 24 1595.25756836 1
54 24 1782.48425293 1
54 24 2881.47827148 1
54 25 752.009399414 1
54 25 823.657775879 1
54 25 828.182678223 1
54 25 848.687805176 1
54 25 857.202941895 1
54 25 869.996826172 1
54 25 904.641540527 1
54 25 906.831481934 1
54 25 916.605407715 1
54 25 921.621276855 1
54 25 923.669311523 1
54 25 928.781311035 1
54 25 932.422851562 1
54 25 936.706604004 1
54 25 939.031860352 1
54 25 939.946899414 1
54 25 942.038696289 1
54 25 965.644470215 1
54 25 982.101257324 1
54 25 983.676818848 1
54 25 986.712646484 1
54 25 1005.84533691 1
54 25 1008.59802246 1
54 25 1009.36151123 1
54 25 1013.89050293 1
54 25 1036.56018066 1
