string dom time hits
35 21 2527.02050781 1
42 26 3127.04174805 1
44 22 1786.95617676 1
44 24 1931.79333496 1
44 24 2660.13598633 1
44 26 1734.17456055 1
44 26 2639.00024414 1
44 27 1833.16992188 1
44 27 2018.84594727 1
44 27 2499.04248047 1
44 27 2519.94628906 1
44 29 1855.54614258 1
44 29 1875.25793457 1
44 29 2756.06176758 1
44 30 1540.11657715 1
44 30 1567.2121582 1
44 30 2166.28857422 1
44 32 1972.14868164 1
44 32 2039.43457031 1
45 20 1951.04760742 1
45 21 1711.87243652 1
45 22 2800.52880859 1
45 23 1955.6328125 1
45 24 2261.19482422 1
45 24 2927.45458984 1
45 25 1452.43640137 1
45 25 1706.74328613 1
45 26 1248.1105957 1
45 26 1550.84484863 1
45 26 1607.16210938 1
45 26 1737.30834961 1
45 26 1955.75134277 1
45 26 2167.94946289 1
45 26 2255.93823242 1
45 26 3869.12255859 1
45 27 1160.21618652 1
45 27 1196.79785156 1
45 27 1264.73718262 1
45 27 1446.07763672 1
45 27 1567.77209473 1
45 27 1744.57666016 1
45 27 1795.49438477 1
45 27 1836.14013672 1
45 27 2193.09765625 1
45 28 1341.59667969 1
45 28 1532.03356934 1
45 28 1930.8302002 1
45 29 1140.94580078 1
45 29 1358.79101562 1
45 29 1393.04589844 1
45 29 1399.71069336 1
45 29 1518.78857422 1
45 29 1598.18066406 1
45 29 1707.92883301 1
45 29 1941.90551758 1
45 29 1956.74023438 1
45 29 2389.67089844 1
45 29 2915.84960938 1
45 30 1302.52661133 1
45 30 1367.57336426 1
45 30 1600.92114258 1
45 30 1804.34558105 1
45 31 1647.97229004 1
45 32 1547.42041016 1
45 32 1900.43347168 1
46 21 2292.99438477 1
46 25 1861.8079834 1
46 26 1646.86743164 1
46 26 1672.59301758 1
46 26 2223.64135742 1
46 27 2074.58007812 1
46 28 1776.07067871 1
46 28 1984.77233887 1
46 29 1532.53356934 1
46 29 1748.4095459 1
46 29 2147.79003906 1
46 30 1565.10351562 1
46 30 1594.14001465 1
46 30 1783.73693848 1
46 30 2154.68505859 1
46 30 2403.81762695 1
46 31 1694.37731934 1
47 23 2123.84423828 1
47 27 2059.17797852 1
53 22 2351.63549805 1
53 23 1601.02124023 1
53 23 1881.14782715 1
53 23 1885.23095703 1
53 24 1754.99414062 1
53 25 1446.69189453 1
53 25 1875.76904297 1
53 25 2051.20947266 1
53 26 1531.51196289 1
53 26 1606.88757324 1
53 26 1648.18908691 1
53 26 1681.28674316 1
53 26 2325.06323242 1
53 26 2567.79833984 1
53 27 1274.71557617 1
53 27 1329.31835938 1
53 27 1584.23327637 1
53 27 1906.7713623 1
53 27 3392.67016602 1
53 28 1310.15234375 1
53 28 1382.35681152 1
53 28 1392.62963867 1
53 28 1418.21691895 1
53 28 1476.55932617 1
53 28 1588.97119141 1
53 28 1708.63952637 1
53 28 2096.45068359 1
53 28 2251.93847656 1
53 29 1124.00793457 1
53 29 1158.36035156 1
53 29 1201.66027832 1
53 29 1417.48205566 1
53 29 1443.31628418 1
53 29 1476.37475586 1
53 29 2411.546875 1
53 30 1529.84655762 1
53 30 1936.06481934 1
53 31 1650.32287598 1
53 31 2053.20605469 1
53 32 2127.70800781 1
54 16 2290.32861328 1
54 17 1831.51916504 1
54 18 1586.9128418 1
54 19 1415.76831055 1
54 19 2210.77001953 1
54 20 1133.54516602 1
54 20 1212.33703613 1
54 20 1295.74291992 1
54 20 1565.40917969 1
54 20 1601.85998535 1
54 21 1063.56298828 1
54 21 1096.72558594 1
54 21 1155.18408203 1
54 21 1311.04382324 1
54 21 1742.16381836 1
54 21 1941.2911377 1
54 21 2232.71435547 1
54 22 1064.90441895 1
54 22 1140.55358887 1
54 22 1145.01696777 1
54 22 1275.15612793 1
54 22 1288.48059082 1
54 22 1345.95898438 1
54 22 1391.24047852 1
54 22 1618.35705566 1
54 22 1629.31640625 1
54 22 1866.35437012 1
54 22 1925.18249512 1
54 22 1958.04370117 1
54 23 978.774902344 1
54 23 1025.45288086 1
54 23 1067.51342773 1
54 23 1068.85180664 1
54 23 1170.76391602 1
54 23 1269.22460938 1
54 23 1290.84265137 1
54 23 1462.80603027 1
54 23 1533.51025391 1
54 23 1711.03491211 1
54 23 1761.21447754 1
54 23 1785.40710449 1
54 23 1803.1171875 1
54 23 2404.28442383 1
54 23 2927.50366211 1
54 24 885.089111328 1
54 24 892.54876709 1
54 24 957.460266113 1
54 24 965.984375 1
54 24 1031.82287598 1
54 24 1042.84765625 1
54 24 1053.57897949 1
54 24 1060.40771484 1
54 24 1084.26330566 1
54 24 1100.98449707 1
54 24 1128.04016113 1
54 24 1134.38342285 1
54 24 1157.67834473 1
54 24 1172.94726562 1
54 24 1227.18774414 1
54 24 1227.58422852 1
54 24 1229.88574219 1
54 24 1235.93273926 1
54 24 1236.15710449 1
54 24 1258.6595459 1
54 24 1262.91894531 1
54 24 1308.07641602 1
54 24 1339.32250977 1
54 24 1381.80871582 1
54 24 1460.43652344 1
54 24 1469.13232422 1
54 24 1537.18322754 1
54 24 1743.95227051 1
54 24 1796.8626709 1
54 24 1853.98547363 1
54 24 1902.74169922 1
54 24 1974.71337891 1
54 24 3055.45288086 1
54 24 3712.53808594 1
54 25 789.915405273 1
54 25 791.741516113 1
54 25 807.072021484 1
54 25 810.050170898 1
54 25 820.029907227 1
54 25 828.182678223 1
54 25 854.325073242 1
54 25 867.481811523 1
54 25 885.871948242 1
54 25 889.820556641 1
54 25 901.598449707 1
54 25 902.127075195 1
54 25 919.510925293 1
54 25 923.645324707 1
54 25 928.781311035 1
54 25 931.637207031 1
54 25 956.79284668 1
54 25 965.644470215 1
54 25 978.83203125 1
54 25 979.041992188 1
54 25 983.676818848 1
54 25 997.745727539 1
54 25 1014.42785645 1
54 25 1016.02246094 1
54 25 1017.23345947 1
54 25 1021.5255127 1
54 25 1024.48571777 1
54 25 1024.94421387 1
54 25 1027.62329102 1
54 25 1029.85021973 1
54 25 1070.01904297 1
54 25 1094.22131348 1
54 25 1111.21142578 1
54 25 1111.93676758 1
54 25 1125.95056152 1
54 25 1137.60449219 1
54 25 1160.79248047 1
54 25 1163.73571777 1
54 25 1164.05749512 1
54 25 1195.61865234 1
54 25 1196.23742676 1
54 25 1198.16320801 1
54 25 1253.48718262 1
54 25 1256.13549805 1
54 25 1278.39123535 1
54 25 1337.22412109 1
54 25 1367.3067627 1
54 25 1375.29760742 1
54 25 1407.59106445 1
54 25 1436.19189453 1
54 25 1463.92724609 1
54 25 1479.07580566 1
54 25 1627.4095459 1
54 25 1687.18359375 1
54 25 1736.84777832 1
54 25 1794.66638184 1
54 25 2130.48706055 1
54 25 2490.21801758 1
54 26 728.194152832 1
54 26 769.498352051 1
54 26 771.136474609 1
54 26 778.179748535 1
54 26 778.913391113 1
54 26 780.975219727 1
54 26 787.439331055 1
54 26 787.643981934 1
54 26 790.19140625 1
54 26 793.224121094 1
54 26 793.359802246 1
54 26 801.848937988 1
54 26 802.634765625 1
54 26 802.932189941 1
54 26 808.638000488 1
54 26 812.854370117 1
54 26 817.986999512 1
54 26 820.474731445 1
54 26 822.755859375 1
54 26 827.828308105 1
54 26 831.458068848 1
54 26 831.609130859 1
54 26 832.789428711 1
54 26 833.492797852 1
54 26 836.189453125 1
54 26 843.261291504 1
54 26 854.034545898 1
54 26 857.013122559 1
54 26 862.917358398 1
54 26 864.988037109 1
54 26 867.361633301 1
54 26 877.284973145 1
54 26 885.70703125 1
54 26 888.885131836 1
54 26 895.097839355 1
54 26 895.944702148 1
54 26 898.236938477 1
54 26 902.45501709 1
54 26 905.272521973 1
54 26 906.045227051 1
54 26 909.182495117 1
54 26 919.350463867 1
54 26 921.492675781 1
54 26 924.937072754 1
54 26 927.026367188 1
54 26 928.487426758 1
54 26 931.486694336 1
54 26 946.821533203 1
54 26 951.15447998 1
54 26 963.814086914 1
54 26 969.941162109 1
54 26 973.498779297 1
54 26 974.024841309 1
54 26 975.412353516 1
54 26 980.91796875 1
54 26 985.465820312 1
54 26 988.570556641 1
54 26 993.396179199 1
54 26 995.657653809 1
54 26 1003.24017334 1
54 26 1004.72155762 1
54 26 1005.1550293 1
54 26 1017.88165283 1
54 26 1022.0592041 1
54 26 1040.83947754 1
54 26 1047.74230957 1
54 26 1060.52392578 1
54 26 1100.65075684 1
54 26 1104.19018555 1
54 26 1110.28710938 1
54 26 1111.99353027 1
54 26 1124.94824219 1
54 26 1136.82312012 1
54 26 1137.89916992 1
54 26 1140.7019043 1
54 26 1145.69055176 1
54 26 1162.06665039 1
54 26 1172.62109375 1
54 26 1182.68579102 1
54 26 1191.29443359 1
54 26 1196.5402832 1
54 26 1224.71240234 1
54 26 1232.50854492 1
54 26 1253.41564941 1
54 26 1254.45422363 1
54 26 1262.99804688 1
54 26 1269.90905762 1
54 26 1272.48339844 1
54 26 1281.71130371 1
54 26 1299.87988281 1
54 26 1323.26818848 1
54 26 1336.36730957 1
54 26 1349.81970215 1
54 26 1358.70007324 1
54 26 1389.75292969 1
54 26 1407.80908203 1
54 26 1413.64257812 1
54 26 1427.26049805 1
54 26 1431.65026855 1
54 26 1449.16589355 1
54 26 1467.0378418 1
54 26 1483.14868164 1
54 26 1603.13476562 1
54 26 1617.87438965 1
54 26 1631.6484375 1
54 26 1640.42102051 1
54 26 1652.36401367 1
54 26 1772.65063477 1
54 26 1783.37695312 1
54 26 1790.18505859 1
54 26 1837.14257812 1
54 26 1886.58752441 1
54 26 2016.9309082 1
54 26 2147.45214844 1
54 26 2436.60766602 1
54 26 2821.703125 1
54 27 645.193359375 1
54 27 661.438232422 1
54 27 661.550109863 1
54 27 669.496520996 1
54 27 681.277648926 1
54 27 693.31237793 1
54 27 698.978271484 1
54 27 700.494384766 1
54 27 703.795898438 1
54 27 705.215576172 1
54 27 708.70324707 1
54 27 708.849731445 1
54 27 709.913696289 1
54 27 713.065124512 1
54 27 716.502319336 1
54 27 720.983703613 1
54 27 724.014892578 1
54 27 731.799377441 1
54 27 731.864074707 1
54 27 732.060974121 1
54 27 732.243041992 1
54 27 738.315002441 1
54 27 738.961303711 1
54 27 739.344726562 1
54 27 740.520568848 1
54 27 742.204345703 1
54 27 743.065979004 1
54 27 743.201171875 1
54 27 746.616271973 1
54 27 746.915405273 1
54 27 746.938842773 1
54 27 747.200012207 1
54 27 749.180969238 1
54 27 756.054016113 1
54 27 756.987976074 1
54 27 757.797424316 1
54 27 763.61706543 1
54 27 772.141784668 1
54 27 774.249206543 1
54 27 777.89440918 1
54 27 788.974487305 1
54 27 792.33001709 1
54 27 793.876586914 1
