string dom time hits
34 31 2943.3972168 1
36 30 2288.47460938 1
43 22 1875.66369629 1
43 22 1941.15246582 1
43 26 2753.48242188 1
43 27 3401.19555664 1
43 28 1556.53930664 1
43 28 1690.72851562 1
43 28 1936.26452637 1
43 29 1763.1875 1
43 29 2025.59545898 1
43 29 2027.72644043 1
43 29 2877.77685547 1
43 30 1727.30773926 1
43 30 2478.40161133 1
44 21 1942.68481445 1
44 22 2099.81860352 1
44 23 1847.25024414 1
44 24 1695.29333496 1
44 24 1777.19604492 1
44 25 1984.06030273 1
44 25 2252.69775391 1
44 26 1731.07385254 1
44 26 1840.78686523 1
44 26 2674.3449707 1
44 27 1675.01025391 1
44 27 1709.41516113 1
44 27 1883.35876465 1
44 27 2529.01879883 1
44 28 1215.62890625 1
44 28 1322.54296875 1
44 28 1347.32080078 1
44 28 1441.67199707 1
44 28 1952.38537598 1
44 28 2136.32226562 1
44 28 2814.1940918 1
44 29 1173.4708252 1
44 29 1178.46618652 1
44 29 1261.55810547 1
44 29 1358.34631348 1
44 29 1361.74951172 1
44 29 1792.5847168 1
44 29 2348.64794922 1
44 30 1454.33984375 1
44 30 1563.52062988 1
44 30 1708.54187012 1
44 31 1302.72399902 1
44 31 1625.86816406 1
44 31 2427.55126953 1
44 33 2328.81616211 1
45 25 1641.66918945 1
45 26 1842.42175293 1
45 27 1514.35266113 1
45 27 1712.07458496 1
45 27 1977.56347656 1
45 27 1984.23779297 1
45 27 4859.81152344 1
45 28 1379.28234863 1
45 28 2007.64538574 1
45 28 2103.49169922 1
45 28 2410.4128418 1
51 29 2072.73535156 1
52 24 1718.14233398 1
52 24 1879.74316406 1
52 25 1714.33886719 1
52 25 1896.2890625 1
52 25 2097.6237793 1
52 25 2116.56347656 1
52 26 1448.19348145 1
52 26 1477.91833496 1
52 26 1673.78662109 1
52 26 1698.70422363 1
52 26 1956.71362305 1
52 26 2271.87353516 1
52 27 1361.59924316 1
52 27 1458.59472656 1
52 27 1501.76843262 1
52 27 1733.55407715 1
52 27 1888.1628418 1
