string dom time hits
44 20 2118.04296875 1
44 26 1630.44274902 1
44 26 2418.15234375 1
44 26 3764.58618164 1
44 27 1366.55480957 1
44 27 1768.37316895 1
44 29 1778.01159668 1
44 29 2521.32128906 1
44 30 1714.30102539 1
44 30 2028.58300781 1
45 22 1753.65209961 1
45 22 2279.41674805 1
45 22 3075.16381836 1
45 24 2152.66943359 1
45 24 3172.93945312 1
45 24 4004.0 1
45 26 2851.74951172 1
45 26 3120.39892578 1
45 27 1229.65283203 1
45 27 1531.28125 1
45 27 2536.95898438 1
45 28 1390.18713379 1
45 28 1495.50744629 1
45 28 1508.07043457 1
45 28 1510.6541748 1
45 28 1651.48144531 1
45 28 2145.91455078 1
45 28 2475.90649414 1
45 29 1297.89831543 1
45 29 1337.49914551 1
45 30 1804.09594727 1
45 32 1571.29394531 1
46 20 2078.93115234 1
46 23 3594.08544922 1
46 26 1610.16918945 1
46 26 2278.40307617 1
46 28 1446.98583984 1
53 21 4158.28564453 1
53 22 1671.06408691 1
53 25 2045.53930664 1
53 25 2253.07446289 1
53 26 2844.25805664 1
53 27 1430.51965332 1
53 27 2215.60473633 1
53 28 1299.41821289 1
53 28 1535.57409668 1
53 28 1569.14355469 1
53 28 1630.45153809 1
53 28 1700.91784668 1
53 28 1760.22277832 1
53 28 3483.94360352 1
53 29 1378.26647949 1
53 29 1454.0333252 1
53 29 1958.75585938 1
53 29 2139.32397461 1
53 30 1820.23461914 1
53 31 1669.99291992 1
54 17 2863.94433594 1
54 19 1430.43701172 1
54 19 1516.99609375 1
54 19 1580.67626953 1
54 19 1865.95678711 1
54 20 1578.95227051 1
54 20 1775.77612305 1
54 20 1868.12792969 1
54 20 1913.48840332 1
54 21 1308.44458008 1
54 21 1515.12536621 1
54 21 2056.48291016 1
54 22 1088.21838379 1
54 22 1284.62646484 1
54 22 1361.72839355 1
54 22 1684.7824707 1
54 22 2166.43603516 1
54 23 992.694335938 1
54 23 996.01776123 1
54 23 1052.24853516 1
54 23 1078.42626953 1
54 23 1103.21459961 1
54 23 1104.52111816 1
54 23 1132.95532227 1
54 23 1213.9609375 1
54 23 1265.0447998 1
54 23 1445.54394531 1
54 23 1495.9206543 1
54 23 1553.59106445 1
54 23 1824.5012207 1
54 23 1880.9864502 1
54 24 950.986694336 1
54 24 967.07208252 1
54 24 984.424316406 1
54 24 1003.26733398 1
54 24 1003.44482422 1
54 24 1039.10681152 1
54 24 1117.79455566 1
54 24 1168.94213867 1
54 24 1289.32775879 1
54 24 1302.80957031 1
54 24 1363.94775391 1
54 24 1389.79370117 1
54 24 1592.5880127 1
54 24 1632.19104004 1
54 24 1666.74267578 1
54 24 1727.63464355 1
54 24 1808.4005127 1
54 24 1825.52709961 1
54 24 1980.95910645 1
54 24 2955.27587891 1
54 25 814.59161377 1
54 25 883.390380859 1
54 25 885.683532715 1
54 25 902.321105957 1
54 25 915.93762207 1
54 25 924.050537109 1
54 25 933.160461426 1
54 25 938.143737793 1
54 25 972.75 1
54 25 985.200805664 1
54 25 991.71270752 1
54 25 996.342590332 1
54 25 1046.50231934 1
54 25 1051.75134277 1
54 25 1061.99401855 1
54 25 1077.7824707 1
54 25 1087.20507812 1
54 25 1097.35266113 1
54 25 1131.00073242 1
54 25 1163.21960449 1
54 25 1163.3807373 1
54 25 1163.72290039 1
54 25 1236.59423828 1
54 25 1256.40698242 1
54 25 1282.94616699 1
54 25 1300.13879395 1
54 25 1393.05871582 1
54 25 1521.45153809 1
54 25 1590.4251709 1
54 25 1665.78918457 1
54 25 1673.63684082 1
54 25 1821.35046387 1
54 25 1912.58435059 1
54 26 742.850708008 1
