string dom time hits
44 27 2184.80566406 1
44 30 2425.86547852 1
45 22 1597.35852051 1
45 24 2077.64575195 1
45 24 2372.91870117 1
45 26 1790.53259277 1
45 26 1964.29675293 1
45 26 2279.54638672 1
45 27 1563.40100098 1
45 28 1309.36437988 1
45 28 3251.26928711 1
45 29 1912.46496582 1
45 29 2015.27111816 1
45 30 1294.43383789 1
45 30 1370.78283691 1
45 30 1787.96118164 1
46 28 2230.77880859 1
46 31 1831.42114258 1
52 25 3451.1796875 1
53 26 1453.10266113 1
53 27 1587.4675293 1
53 27 1681.73962402 1
53 27 1778.70361328 1
53 27 3581.95751953 1
53 28 1316.89672852 1
53 29 2004.56054688 1
53 29 2192.1237793 1
53 30 1696.02600098 1
53 31 2504.58862305 1
54 20 1760.85644531 1
54 20 1987.83569336 1
54 21 2499.65478516 1
54 21 2508.69335938 1
54 23 991.025024414 1
54 23 1096.72729492 1
54 23 1182.57849121 1
54 23 1590.58068848 1
54 23 1882.77661133 1
54 24 972.062011719 1
54 24 1019.73461914 1
54 24 1072.35852051 1
54 24 1323.00415039 1
54 24 1349.83984375 1
54 24 1358.66699219 1
54 24 1438.46655273 1
54 24 1446.40112305 1
54 24 1699.65454102 1
54 24 1787.15551758 1
54 24 2119.13671875 1
54 25 800.80456543 1
54 25 829.530578613 1
54 25 986.090759277 1
54 25 1015.19854736 1
54 25 1031.93664551 1
54 25 1056.13867188 1
54 25 1090.2442627 1
54 25 1138.37219238 1
54 25 1237.73693848 1
54 25 1439.98449707 1
54 25 1445.78088379 1
54 25 1481.94104004 1
54 25 1563.58740234 1
54 25 1792.31054688 1
54 25 1863.08337402 1
54 26 797.921936035 1
54 26 861.114868164 1
54 26 867.461303711 1
54 26 882.318908691 1
54 26 912.132080078 1
54 26 916.231872559 1
54 26 917.858703613 1
54 26 922.62097168 1
54 26 966.979064941 1
54 26 1021.60046387 1
54 26 1034.81799316 1
54 26 1043.44470215 1
54 26 1047.90869141 1
54 26 1090.86437988 1
54 26 1123.13305664 1
54 26 1127.38195801 1
54 26 1158.44775391 1
54 26 1164.36364746 1
54 26 1200.00073242 1
54 26 1206.14147949 1
54 26 1237.99572754 1
54 26 1258.23535156 1
54 26 1267.96813965 1
54 26 1399.85778809 1
54 26 1462.47192383 1
54 26 2085.421875 1
54 27 745.706848145 1
54 27 758.768676758 1
54 27 763.596679688 1
54 27 780.675354004 1
54 27 806.676208496 1
54 27 812.041259766 1
54 27 829.653076172 1
54 27 830.690063477 1
54 27 847.645019531 1
54 27 880.180297852 1
54 27 894.060913086 1
54 27 897.94317627 1
54 27 898.289245605 1
54 27 899.762329102 1
54 27 914.488891602 1
54 27 915.171447754 1
54 27 928.591308594 1
54 27 971.046203613 1
54 27 975.285888672 1
54 27 983.188049316 1
54 27 1004.52148438 1
54 27 1066.64538574 1
54 27 1070.23364258 1
54 27 1116.59106445 1
54 27 1129.81481934 1
54 27 1153.50354004 1
54 27 1168.47045898 1
54 27 1193.14709473 1
54 27 1196.13012695 1
54 27 1204.53857422 1
54 27 1217.46582031 1
54 27 1237.85400391 1
54 27 1311.59008789 1
54 27 1333.81799316 1
54 27 1459.13305664 1
54 27 1470.78015137 1
54 27 1492.8190918 1
54 27 1546.61206055 1
54 27 1815.35083008 1
54 27 2097.79248047 1
54 27 2581.65380859 1
54 28 659.262145996 1
54 28 663.009887695 1
54 28 667.462219238 1
54 28 680.583068848 1
54 28 741.032958984 1
