string dom time hits
27 29 2868.94897461 1
34 29 2430.68579102 1
34 30 3372.72705078 1
44 25 2117.47753906 1
44 25 2515.35009766 1
44 27 1517.72387695 1
44 29 1786.95666504 1
44 29 2056.22680664 1
44 29 3094.99023438 1
44 31 2061.73339844 1
45 21 3088.60205078 1
45 23 1530.36584473 1
45 23 1598.93615723 1
45 23 2932.49731445 1
45 25 1727.79724121 1
45 27 1248.40307617 1
45 27 1513.58410645 1
45 27 1970.79699707 1
45 28 1135.45935059 1
45 28 1628.40722656 1
45 28 1977.65344238 1
45 28 2264.82104492 1
45 29 1856.31323242 1
45 30 1177.13354492 1
45 30 1668.55163574 1
45 30 1971.08068848 1
45 30 2296.10400391 1
45 30 2416.36328125 1
45 31 1826.71630859 1
45 31 2787.15820312 1
46 23 1965.09350586 1
46 23 2733.59936523 1
46 24 2740.35693359 1
46 24 3407.60717773 1
46 25 1667.46435547 1
46 25 1914.31628418 1
46 26 3015.31738281 1
46 27 2109.86791992 1
46 27 2590.64770508 1
46 27 3532.25341797 1
46 28 1558.45861816 1
46 29 1452.98583984 1
46 29 1791.9855957 1
46 29 1875.93933105 1
46 29 2300.27294922 1
46 29 2938.36328125 1
46 30 1445.71044922 1
46 30 1659.89660645 1
46 30 3156.45678711 1
47 25 1930.25158691 1
53 21 1715.56469727 1
53 22 1586.72558594 1
53 23 2104.06030273 1
53 23 2108.21704102 1
53 24 2552.33666992 1
53 25 1959.84399414 1
53 26 2253.57714844 1
53 27 1468.64758301 1
53 27 1580.49023438 1
53 27 1613.8449707 1
53 27 1830.19677734 1
53 27 2028.64379883 1
53 28 1809.86889648 1
53 28 2040.78955078 1
53 29 1251.44677734 1
53 29 1358.62841797 1
53 29 1371.16931152 1
53 29 2882.13671875 1
53 30 1499.39038086 1
53 30 1625.59729004 1
53 30 2016.3001709 1
54 18 2360.64501953 1
54 19 1759.99853516 1
54 20 1604.58300781 1
54 20 1727.65563965 1
54 21 1722.63452148 1
54 21 2004.66479492 1
54 21 2598.4387207 1
54 21 2653.76171875 1
54 22 1025.61047363 1
54 22 1030.27929688 1
54 22 1156.97277832 1
54 22 1209.41906738 1
54 22 1331.64672852 1
54 22 1372.14331055 1
54 22 1379.21044922 1
54 22 1550.71240234 1
54 22 1568.68041992 1
54 22 1636.94482422 1
54 22 2020.49365234 1
54 23 994.957214355 1
54 23 1013.82720947 1
54 23 1085.08447266 1
54 23 1118.32580566 1
54 23 1190.26806641 1
54 23 1204.08178711 1
54 23 1339.40368652 1
54 23 1361.86254883 1
54 23 1369.43151855 1
54 23 1419.66784668 1
54 23 1831.24121094 1
54 23 1982.74890137 1
54 24 1015.13690186 1
54 24 1074.68518066 1
54 24 1144.61352539 1
54 24 1155.04553223 1
54 24 1165.93737793 1
54 24 1224.5032959 1
54 24 1315.62255859 1
54 24 1353.10327148 1
54 24 2125.49658203 1
54 24 2386.08642578 1
54 25 778.390075684 1
54 25 804.428161621 1
54 25 840.179504395 1
54 25 851.421875 1
54 25 878.205444336 1
54 25 927.648376465 1
54 25 960.282897949 1
54 25 971.677978516 1
54 25 993.136352539 1
54 25 1017.28851318 1
54 25 1032.0279541 1
54 25 1040.7052002 1
54 25 1104.29260254 1
54 25 1119.10217285 1
54 25 1139.82800293 1
54 25 1183.35461426 1
54 25 1192.0213623 1
54 25 1201.2578125 1
54 25 1236.12243652 1
54 25 1241.00585938 1
54 25 1323.99121094 1
54 25 1408.13928223 1
54 25 1503.89892578 1
54 25 1669.60681152 1
54 25 1802.41845703 1
54 25 1863.60900879 1
54 25 1867.99499512 1
54 25 1869.70812988 1
54 25 1879.57714844 1
54 25 1901.91870117 1
54 25 1970.7019043 1
54 25 1986.27868652 1
54 25 2015.04187012 1
54 25 2078.96337891 1
54 25 2331.80126953 1
54 25 2348.60180664 1
54 25 2382.97216797 1
54 26 716.094787598 1
54 26 731.302062988 1
54 26 753.023193359 1
54 26 761.099060059 1
54 26 766.946411133 1
54 26 770.224060059 1
54 26 779.932556152 1
54 26 780.302734375 1
54 26 805.325500488 1
54 26 806.111022949 1
54 26 815.354675293 1
54 26 822.303833008 1
54 26 836.476989746 1
54 26 847.417480469 1
54 26 862.024597168 1
54 26 862.426391602 1
54 26 875.242370605 1
54 26 902.55456543 1
54 26 928.797729492 1
54 26 929.936157227 1
54 26 930.313598633 1
54 26 934.383789062 1
54 26 942.497253418 1
54 26 945.11328125 1
54 26 959.17956543 1
54 26 964.663269043 1
54 26 984.833435059 1
54 26 986.995056152 1
54 26 987.925476074 1
54 26 1008.46130371 1
54 26 1020.63037109 1
54 26 1034.58203125 1
54 26 1041.51257324 1
54 26 1042.82519531 1
54 26 1046.74255371 1
54 26 1076.70568848 1
54 26 1083.38439941 1
54 26 1096.4720459 1
54 26 1105.71130371 1
54 26 1120.88513184 1
54 26 1142.21252441 1
54 26 1144.43469238 1
54 26 1152.12902832 1
54 26 1188.76855469 1
54 26 1190.13244629 1
54 26 1196.66345215 1
54 26 1204.5177002 1
54 26 1233.5456543 1
54 26 1266.12426758 1
54 26 1286.90698242 1
54 26 1323.75756836 1
54 26 1333.84472656 1
54 26 1342.10754395 1
54 26 1347.59387207 1
54 26 1357.89379883 1
54 26 1392.06140137 1
54 26 1533.93798828 1
54 26 1647.63623047 1
54 26 1721.1192627 1
54 26 1978.02441406 1
54 26 1992.84887695 1
54 26 2131.26855469 1
54 26 2392.00708008 1
54 27 683.919555664 1
54 27 705.621643066 1
54 27 709.467834473 1
54 27 733.70904541 1
54 27 742.614379883 1
54 27 746.503540039 1
54 27 746.929199219 1
54 27 750.601318359 1
54 27 753.354980469 1
54 27 754.187133789 1
54 27 760.162658691 1
54 27 772.818359375 1
54 27 773.991210938 1
54 27 776.567077637 1
54 27 785.082336426 1
54 27 801.478820801 1
54 27 804.152038574 1
54 27 806.29095459 1
54 27 808.252258301 1
54 27 813.822875977 1
54 27 816.416564941 1
54 27 823.330383301 1
54 27 832.793701172 1
54 27 837.311279297 1
54 27 850.947570801 1
54 27 852.800476074 1
54 27 852.948486328 1
54 27 853.882019043 1
54 27 854.62890625 1
54 27 858.893920898 1
54 27 858.904052734 1
54 27 868.730712891 1
54 27 877.167480469 1
54 27 883.092895508 1
54 27 893.679931641 1
54 27 896.291564941 1
54 27 896.329528809 1
54 27 897.67980957 1
54 27 899.039245605 1
54 27 913.010986328 1
54 27 918.07611084 1
54 27 924.463317871 1
54 27 938.157592773 1
54 27 948.094482422 1
54 27 969.712646484 1
54 27 969.942687988 1
54 27 971.429382324 1
54 27 992.839538574 1
54 27 1002.33685303 1
54 27 1004.09985352 1
54 27 1010.90411377 1
54 27 1023.25848389 1
54 27 1033.1307373 1
54 27 1057.0925293 1
54 27 1061.25085449 1
54 27 1073.28039551 1
54 27 1078.08483887 1
54 27 1078.86572266 1
54 27 1101.78552246 1
54 27 1104.20288086 1
54 27 1127.83251953 1
54 27 1127.85119629 1
54 27 1128.79638672 1
54 27 1156.22766113 1
54 27 1167.49487305 1
54 27 1182.49353027 1
54 27 1184.72412109 1
54 27 1191.42822266 1
54 27 1203.64599609 1
54 27 1210.37133789 1
54 27 1213.65820312 1
54 27 1237.66516113 1
54 27 1258.28320312 1
54 27 1270.99829102 1
54 27 1275.31628418 1
54 27 1318.88549805 1
54 27 1345.0826416 1
54 27 1430.28112793 1
54 27 1474.24597168 1
54 27 1485.99023438 1
54 27 1548.62060547 1
54 27 1566.07727051 1
54 27 1671.94152832 1
54 27 1720.08544922 1
54 27 1736.49487305 1
54 27 1839.32629395 1
54 27 1908.56115723 1
54 27 2116.81713867 1
54 27 2266.79663086 1
54 27 2949.04443359 1
54 28 670.659057617 1
54 28 688.48449707 1
54 28 696.557861328 1
54 28 704.196411133 1
54 28 708.915588379 1
54 28 710.468261719 1
54 28 715.919250488 1
54 28 728.204650879 1
54 28 731.999023438 1
54 28 735.926452637 1
54 28 737.143005371 1
54 28 741.121398926 1
54 28 746.757385254 1
54 28 755.471557617 1
54 28 759.987548828 1
54 28 764.635681152 1
54 28 769.248657227 1
54 28 772.246520996 1
54 28 774.241882324 1
54 28 775.064758301 1
54 28 778.228637695 1
54 28 786.087097168 1
54 28 790.767211914 1
54 28 792.250793457 1
