effective_scattering_length hole_ice_radius_in_dom_radii agreement duration
0.65 0.8 310.409414521 674.0
0.65 0.9 206.080282798 1872.0
0.65 1.0 231.645004359 2000.0
0.65 1.1 354.626808204 1892.0
0.65 1.2 454.143455853 2091.0
0.65 1.3 506.194698564 1387.0
0.65 1.4 578.840714318 1392.0
0.65 1.5 714.245097825 1962.0
0.65 1.6 797.720808276 1933.0
0.65 1.7 751.311070639 2251.0
0.6 0.8 296.61157878 1420.0
0.6 0.9 232.495887059 1426.0
0.6 1.0 250.095169701 1723.0
0.6 1.1 364.78062646 1810.0
0.6 1.2 500.683929837 1739.0
0.6 1.3 580.759858028 1720.0
0.6 1.4 687.359354728 2203.0
0.6 1.5 758.317121104 2363.0
0.6 1.6 783.26537169 2467.0
0.6 1.7 851.680774052 2401.0
0.75 0.8 308.951632039 1709.0
0.75 0.9 245.55011587 1629.0
0.75 1.0 224.701578114 1662.0
0.75 1.1 276.723402579 1389.0
0.75 1.2 376.16246886 1392.0
0.75 1.3 412.569757789 1586.0
0.75 1.4 539.459114342 1577.0
0.75 1.5 590.488212973 1595.0
0.75 1.6 702.160639144 1585.0
0.75 1.7 709.904113831 1780.0
0.7 0.8 309.521445103 2198.0
0.7 0.9 239.582829674 1368.0
0.7 1.0 241.981003168 1353.0
0.7 1.1 348.206393202 1371.0
0.7 1.2 418.341460764 1359.0
0.7 1.3 468.018739992 1615.0
0.7 1.4 594.860239795 1558.0
0.7 1.5 676.423695634 1570.0
0.7 1.6 696.647743151 1554.0
0.7 1.7 736.544949468 1749.0
0.85 0.8 314.71894639 1876.0
0.85 0.9 195.868572253 1380.0
0.85 1.0 202.148884275 1397.0
0.85 1.1 249.705785491 1633.0
0.85 1.2 349.088651572 1638.0
0.85 1.3 381.62727801 1514.0
0.85 1.4 447.604106468 1508.0
0.85 1.5 499.015434266 892.0
0.85 1.6 559.016393768 887.0
0.85 1.7 604.890097879 893.0
0.8 0.8 307.024898457 1815.0
0.8 0.9 188.75151379 1083.0
0.8 1.0 186.211423026 1055.0
0.8 1.1 315.991158928 1103.0
0.8 1.2 288.968900208 1044.0
0.8 1.3 419.60133296 1807.0
0.8 1.4 471.198163348 1793.0
0.8 1.5 530.396440284 1749.0
0.8 1.6 580.385611611 1883.0
0.8 1.7 606.434281282 1984.0
0.95 0.8 305.799308762 1891.0
0.95 0.9 211.636857695 1425.0
0.95 1.0 171.294932822 1419.0
0.95 1.1 217.793631909 636.0
0.95 1.2 292.482226402 1006.0
0.95 1.3 335.237670746 1006.0
0.95 1.4 366.427212781 1015.0
0.95 1.5 486.824021757 984.0
0.95 1.6 501.608502581 997.0
0.95 1.7 491.351221622 996.0
0.9 0.8 332.446178634 891.0
0.9 0.9 213.750101334 1037.0
0.9 1.0 182.860969186 1041.0
0.9 1.1 202.625514881 1039.0
0.9 1.2 281.895587381 1039.0
0.9 1.3 328.408594952 1578.0
0.9 1.4 427.251100257 1583.0
0.9 1.5 454.577106592 1821.0
0.9 1.6 491.282386473 1830.0
0.9 1.7 616.577187696 1897.0
1.05 0.8 361.811993225 1286.0
1.05 0.9 233.623745486 1413.0
1.05 1.0 174.199431263 1511.0
1.05 1.1 231.108816536 1445.0
1.05 1.2 283.452534624 1470.0
1.05 1.3 276.625070439 1485.0
1.05 1.4 327.829993748 1403.0
1.05 1.5 449.847130731 1403.0
1.05 1.6 445.964027214 1440.0
1.05 1.7 457.650792703 1460.0
1.0 0.8 335.70573127 998.0
1.0 0.9 169.520766719 998.0
1.0 1.0 209.767669513 1032.0
1.0 1.1 204.50974754 1006.0
1.0 1.2 293.132802618 1018.0
1.0 1.3 335.192203536 999.0
1.0 1.4 368.632226256 636.0
1.0 1.5 433.281156271 1300.0
1.0 1.6 523.902196957 1301.0
1.0 1.7 536.155760421 1290.0
1.15 0.8 385.143980497 1461.0
1.15 0.9 221.12467599 1504.0
1.15 1.0 160.922215825 1562.0
1.15 1.1 203.192013535 1546.0
1.15 1.2 222.275926138 1611.0
1.15 1.3 296.093393011 1609.0
1.15 1.4 302.461160285 1551.0
1.15 1.5 369.718785864 1480.0
1.15 1.6 397.314526776 1736.0
1.15 1.7 450.559803305 1800.0
1.1 0.8 353.181739678 1422.0
1.1 0.9 194.169699495 1498.0
1.1 1.0 194.767931369 1498.0
1.1 1.1 186.374176203 1531.0
1.1 1.2 204.060231477 1530.0
1.1 1.3 261.057275165 1369.0
1.1 1.4 305.198161456 1524.0
1.1 1.5 354.106778647 1523.0
1.1 1.6 433.799379687 1374.0
1.1 1.7 438.348477447 1494.0
1.25 0.8 406.596838945 1992.0
1.25 0.9 227.478220528 1461.0
1.25 1.0 198.406380065 2358.0
1.25 1.1 170.698482137 2022.0
1.25 1.2 239.773626448 2088.0
1.25 1.3 258.74766944 1063.0
1.25 1.4 354.815859212 2169.0
1.25 1.5 320.85882153 1068.0
1.25 1.6 359.249964385 1067.0
1.25 1.7 453.531790253 1046.0
1.2 0.8 372.225950221 1710.0
1.2 0.9 238.676852456 1474.0
1.2 1.0 206.892248113 1542.0
1.2 1.1 193.032652536 1620.0
1.2 1.2 214.469748444 1496.0
1.2 1.3 288.136459422 1532.0
1.2 1.4 283.463620901 1835.0
1.2 1.5 342.584067137 1639.0
1.2 1.6 335.512027395 2131.0
1.2 1.7 456.920613996 2195.0
1.35 0.8 406.357091861 1950.0
1.35 0.9 221.549431559 1083.0
1.35 1.0 226.044731674 1016.0
1.35 1.1 208.695346496 1054.0
1.35 1.2 211.739384895 2324.0
1.35 1.3 246.858524858 1511.0
1.35 1.4 276.846609739 1486.0
1.35 1.5 315.173830758 2160.0
1.35 1.6 307.169679121 2141.0
1.35 1.7 413.720871284 2160.0
1.3 0.8 413.502825282 1826.0
1.3 0.9 257.660688463 1776.0
1.3 1.0 215.178522812 638.0
1.3 1.1 185.670290188 2284.0
1.3 1.2 220.826783105 2038.0
1.3 1.3 265.555625613 992.0
1.3 1.4 298.729239177 993.0
1.3 1.5 315.966897091 984.0
1.3 1.6 325.556744367 993.0
1.3 1.7 398.379506947 1035.0
1.45 0.8 449.548204957 1365.0
1.45 0.9 271.938341963 1452.0
1.45 1.0 214.671568978 1370.0
1.45 1.1 212.993356004 1376.0
1.45 1.2 236.588317246 1375.0
1.45 1.3 223.360139322 1359.0
1.45 1.4 310.438113636 1351.0
1.45 1.5 282.934264843 1057.0
1.45 1.6 313.411092719 1055.0
1.45 1.7 340.811616938 1054.0
1.4 0.8 369.240294857 636.0
1.4 0.9 252.280047333 1279.0
1.4 1.0 187.649492905 1261.0
1.4 1.1 177.752971585 1252.0
1.4 1.2 209.283117572 1251.0
1.4 1.3 264.608019901 1336.0
1.4 1.4 231.471335158 1337.0
1.4 1.5 277.460176733 1347.0
1.4 1.6 345.506197172 1453.0
1.4 1.7 385.161401807 1348.0
1.55 0.8 417.981716835 1496.0
1.55 0.9 271.884181767 1529.0
1.55 1.0 206.522995209 1045.0
1.55 1.1 222.531349026 1553.0
1.55 1.2 226.802113454 1536.0
1.55 1.3 251.210097139 1054.0
1.55 1.4 251.137306998 1032.0
1.55 1.5 271.296958679 1469.0
1.55 1.6 308.26201343 1059.0
1.55 1.7 328.787293211 1476.0
1.5 0.8 430.68593401 1053.0
1.5 0.9 264.507863684 1411.0
1.5 1.0 205.761022671 1423.0
1.5 1.1 214.559361067 1574.0
1.5 1.2 225.056117359 1009.0
1.5 1.3 246.460924395 990.0
1.5 1.4 251.946822906 991.0
1.5 1.5 279.507252089 989.0
1.5 1.6 327.826592458 1545.0
1.5 1.7 372.762837514 1562.0
1.65 0.8 446.086510131 1870.0
1.65 0.9 280.809754057 1833.0
1.65 1.0 190.16907695 1572.0
1.65 1.1 219.019606099 1563.0
1.65 1.2 230.882783339 1562.0
1.65 1.3 240.275761732 1584.0
1.65 1.4 250.167938697 1616.0
1.65 1.5 290.985233651 1522.0
1.65 1.6 291.210898088 1662.0
1.65 1.7 319.149009263 1523.0
1.6 0.8 419.723467555 1456.0
1.6 0.9 260.473204295 1474.0
1.6 1.0 219.850548412 1451.0
1.6 1.1 228.823376346 1597.0
1.6 1.2 255.816392031 1602.0
1.6 1.3 261.812470383 636.0
1.6 1.4 300.440570234 1325.0
1.6 1.5 301.040391451 1301.0
1.6 1.6 287.242879727 1291.0
1.6 1.7 361.647338486 1315.0
1.75 0.8 434.289989278 1966.0
1.75 0.9 303.808107418 1571.0
1.75 1.0 207.486595637 1650.0
1.75 1.1 227.360122203 1050.0
1.75 1.2 238.772685531 1049.0
1.75 1.3 274.184741075 1052.0
1.75 1.4 283.698482207 1957.0
1.75 1.5 310.974203327 995.0
1.75 1.6 311.130421342 993.0
1.75 1.7 326.120499162 985.0
1.7 0.8 464.453647109 1639.0
1.7 0.9 306.759963755 638.0
1.7 1.0 240.009774499 1612.0
1.7 1.1 220.988273871 1231.0
1.7 1.2 284.767179986 1287.0
1.7 1.3 217.665895536 1277.0
1.7 1.4 290.252304608 1213.0
1.7 1.5 298.168907358 1960.0
1.7 1.6 313.332520381 1909.0
1.7 1.7 293.078756427 1044.0
1.85 0.8 513.469515948 1033.0
1.85 0.9 351.551459025 1382.0
1.85 1.0 243.49945921 1719.0
1.85 1.1 250.395849008 1371.0
1.85 1.2 259.636059191 1396.0
1.85 1.3 248.606299706 1369.0
1.85 1.4 288.696387738 1373.0
1.85 1.5 310.106745921 1352.0
1.85 1.6 337.127957911 1370.0
1.85 1.7 325.286431759 1345.0
1.8 0.8 464.285833076 992.0
1.8 0.9 289.279177858 1351.0
1.8 1.0 266.507008291 1341.0
1.8 1.1 207.814522433 1042.0
1.8 1.2 248.732057936 1361.0
1.8 1.3 222.130109723 1061.0
1.8 1.4 260.322904393 1359.0
1.8 1.5 276.894167183 1030.0
1.8 1.6 318.750268825 1383.0
1.8 1.7 304.559216579 1707.0
1.95 0.8 497.927369029 1489.0
1.95 0.9 336.916087369 1457.0
1.95 1.0 254.204398386 1487.0
1.95 1.1 292.81244805 1278.0
1.95 1.2 283.232351832 1525.0
1.95 1.3 291.65090018 1446.0
1.95 1.4 244.286664502 1477.0
1.95 1.5 264.532647836 1488.0
1.95 1.6 315.335051982 1535.0
1.95 1.7 350.69974036 1296.0
1.9 0.8 469.787687022 1366.0
1.9 0.9 349.608438105 1981.0
1.9 1.0 271.176353242 2207.0
1.9 1.1 264.745604922 2213.0
1.9 1.2 225.174572762 638.0
1.9 1.3 238.988710781 1282.0
1.9 1.4 276.766966349 1518.0
1.9 1.5 297.435752097 2138.0
1.9 1.6 354.887872483 1492.0
1.9 1.7 347.88851667 1301.0
2.05 0.8 483.434842358 982.0
2.05 0.9 354.181765179 1123.0
2.05 1.0 268.192586764 1019.0
2.05 1.1 253.320776394 1021.0
2.05 1.2 250.627396996 1019.0
2.05 1.3 266.332053684 1378.0
2.05 1.4 292.171479626 1393.0
2.05 1.5 313.90532 638.0
2.05 1.6 335.621017552 990.0
2.05 1.7 372.787716935 1343.0
2.0 0.8 503.089748846 1440.0
2.0 0.9 329.67258289 1459.0
2.0 1.0 254.071511395 2105.0
2.0 1.1 249.223872355 2128.0
2.0 1.2 255.555413061 1164.0
2.0 1.3 222.297757641 1144.0
2.0 1.4 312.283104669 1035.0
2.0 1.5 283.619481696 982.0
2.0 1.6 284.963165674 985.0
2.0 1.7 317.182892312 980.0
2.15 0.8 539.171071861 1664.0
2.15 0.9 340.396270576 1343.0
2.15 1.0 258.176220169 1340.0
2.15 1.1 231.562709507 1581.0
2.15 1.2 301.673985791 1693.0
2.15 1.3 277.795329457 1350.0
2.15 1.4 278.373909712 1350.0
2.15 1.5 362.318350907 1358.0
2.15 1.6 382.954341028 1600.0
2.15 1.7 361.573824858 1380.0
2.1 0.8 553.097984507 1344.0
2.1 0.9 362.749375825 1047.0
2.1 1.0 293.75505466 1009.0
2.1 1.1 260.782345609 991.0
2.1 1.2 289.427484117 1521.0
2.1 1.3 292.735586569 1716.0
2.1 1.4 342.064212493 1529.0
2.1 1.5 314.618712919 983.0
2.1 1.6 363.949411244 1689.0
2.1 1.7 374.233865716 1556.0
2.2 0.8 557.510074972 1367.0
2.2 0.9 404.543717382 1338.0
2.2 1.0 298.881543925 1339.0
2.2 1.1 254.061289828 1364.0
2.2 1.2 261.329898835 1337.0
2.2 1.3 303.559876453 1338.0
2.2 1.4 310.866936355 1585.0
2.2 1.5 339.142452438 1361.0
2.2 1.6 383.22693374 1347.0
2.2 1.7 341.215876905 637.0
