effective_scattering_length hole_ice_radius_in_dom_radii agreement duration
0.65 0.8 55.8021084995 434.0
0.65 0.9 53.3621540142 432.0
0.65 1.0 49.9101890399 459.0
0.65 1.1 63.5518788877 455.0
0.65 1.2 78.4490046237 524.0
0.65 1.3 101.954078734 521.0
0.65 1.4 101.728143162 832.0
0.65 1.5 105.530948929 801.0
0.65 1.6 107.942810038 802.0
0.65 1.7 140.825352486 926.0
0.6 0.8 53.3101336617 476.0
0.6 0.9 60.462287069 470.0
0.6 1.0 51.9700141767 479.0
0.6 1.1 82.2002458536 468.0
0.6 1.2 86.2785017275 523.0
0.6 1.3 78.4206496199 524.0
0.6 1.4 110.709835234 689.0
0.6 1.5 123.21008436 750.0
0.6 1.6 113.017529712 709.0
0.6 1.7 127.118280449 710.0
0.75 0.8 56.5176970184 539.0
0.75 0.9 41.5322931472 546.0
0.75 1.0 58.1612173313 477.0
0.75 1.1 61.6056618012 456.0
0.75 1.2 58.5888453741 475.0
0.75 1.3 67.2761243144 450.0
0.75 1.4 84.4393447202 658.0
0.75 1.5 90.4958156106 664.0
0.75 1.6 85.0647485992 554.0
0.75 1.7 104.440289527 575.0
0.7 0.8 54.267623576 585.0
0.7 0.9 53.6472081615 600.0
0.7 1.0 66.0097909101 443.0
0.7 1.1 59.3820594195 460.0
0.7 1.2 73.6767699336 464.0
0.7 1.3 84.1346868868 454.0
0.7 1.4 82.5494402671 410.0
0.7 1.5 69.0994611538 413.0
0.7 1.6 113.461420687 410.0
0.7 1.7 131.407371773 428.0
0.85 0.8 57.4941924327 693.0
0.85 0.9 42.104010934 649.0
0.85 1.0 53.1973942578 501.0
0.85 1.1 66.8851474715 503.0
0.85 1.2 61.7137834722 493.0
0.85 1.3 54.9291528788 501.0
0.85 1.4 82.1739973982 543.0
0.85 1.5 78.3768897165 545.0
0.85 1.6 96.2287484714 544.0
0.85 1.7 92.8378191247 544.0
0.8 0.8 53.3837842607 424.0
0.8 0.9 50.4802116607 429.0
0.8 1.0 57.2861064635 441.0
0.8 1.1 59.6043249077 439.0
0.8 1.2 85.8602660567 526.0
0.8 1.3 86.6616936588 526.0
0.8 1.4 93.0142671087 409.0
0.8 1.5 94.3423718101 411.0
0.8 1.6 89.9857457955 417.0
0.8 1.7 94.3295343267 407.0
0.95 0.8 68.4793299823 520.0
0.95 0.9 48.1439883731 802.0
0.95 1.0 45.447420191 311.0
0.95 1.1 52.9024462246 553.0
0.95 1.2 59.0136825483 576.0
0.95 1.3 60.8939633195 592.0
0.95 1.4 69.1021298091 501.0
0.95 1.5 89.3348507967 544.0
0.95 1.6 93.3150598944 455.0
0.95 1.7 93.2539507724 511.0
0.9 0.8 66.9188768433 521.0
0.9 0.9 61.8519914713 532.0
0.9 1.0 71.706350085 549.0
0.9 1.1 53.4377791284 551.0
0.9 1.2 75.6124541796 434.0
0.9 1.3 68.7633138782 440.0
0.9 1.4 112.299892535 432.0
0.9 1.5 89.845042783 427.0
0.9 1.6 75.5325363059 305.0
0.9 1.7 96.1583257988 517.0
1.05 0.8 60.7439955969 762.0
1.05 0.9 55.5204462587 550.0
1.05 1.0 48.4195403675 614.0
1.05 1.1 61.9290483398 606.0
1.05 1.2 57.3714297934 820.0
1.05 1.3 61.0590549612 516.0
1.05 1.4 69.7959866188 475.0
1.05 1.5 74.2711179838 716.0
1.05 1.6 108.695769048 708.0
1.05 1.7 78.3632960846 476.0
1.0 0.8 60.5259966199 509.0
1.0 0.9 41.4681484554 509.0
1.0 1.0 43.8422214283 516.0
1.0 1.1 54.286747495 489.0
1.0 1.2 51.0261462404 456.0
1.0 1.3 78.1048724555 449.0
1.0 1.4 65.4931129428 462.0
1.0 1.5 77.2787373627 579.0
1.0 1.6 78.0882013426 571.0
1.0 1.7 94.6011084457 451.0
1.15 0.8 53.3431202543 517.0
1.15 0.9 50.7079113631 567.0
1.15 1.0 54.2463165531 516.0
1.15 1.1 64.9779997769 526.0
1.15 1.2 46.7362174048 522.0
1.15 1.3 65.5053437344 524.0
1.15 1.4 66.9728018136 513.0
1.15 1.5 76.9758003983 565.0
1.15 1.6 73.7419440174 512.0
1.15 1.7 87.1023934244 542.0
1.1 0.8 59.304771645 467.0
1.1 0.9 52.1023176203 485.0
1.1 1.0 55.2827868879 597.0
1.1 1.1 50.4977186507 605.0
1.1 1.2 54.0761026063 490.0
1.1 1.3 74.1084169603 572.0
1.1 1.4 55.1225110966 601.0
1.1 1.5 67.0960475124 600.0
1.1 1.6 73.9185002703 576.0
1.1 1.7 79.087242352 513.0
1.25 0.8 56.8403791049 644.0
1.25 0.9 75.2459627304 318.0
1.25 1.0 46.5490575306 685.0
1.25 1.1 43.8223690016 649.0
1.25 1.2 79.7538469323 642.0
1.25 1.3 50.025634346 662.0
1.25 1.4 57.8671757756 730.0
1.25 1.5 65.2058147465 762.0
1.25 1.6 75.7074690163 739.0
1.25 1.7 63.1337422512 837.0
1.2 0.8 67.2339936403 556.0
1.2 0.9 41.3765415374 555.0
1.2 1.0 42.017085534 552.0
1.2 1.1 59.7215028965 556.0
1.2 1.2 54.6046173674 564.0
1.2 1.3 62.4066416156 559.0
1.2 1.4 71.5981641455 568.0
1.2 1.5 74.1917577099 636.0
1.2 1.6 63.9857309687 638.0
1.2 1.7 73.1021927649 723.0
1.35 0.8 72.5734324963 470.0
1.35 0.9 44.1081285199 494.0
1.35 1.0 51.7904820749 471.0
1.35 1.1 53.7775157487 517.0
1.35 1.2 61.0056648674 315.0
1.35 1.3 43.8784929291 494.0
1.35 1.4 60.263820587 498.0
1.35 1.5 77.9458329931 502.0
1.35 1.6 73.2430496151 500.0
1.35 1.7 71.1381030359 497.0
1.3 0.8 62.0080352745 868.0
1.3 0.9 55.3994806523 877.0
1.3 1.0 51.9817834628 825.0
1.3 1.1 41.7679018541 883.0
1.3 1.2 47.2793336848 448.0
1.3 1.3 58.9350236107 448.0
1.3 1.4 70.0357359827 464.0
1.3 1.5 69.1852046878 444.0
1.3 1.6 90.1336349458 467.0
1.3 1.7 79.64078873 877.0
1.45 0.8 56.2040730046 517.0
