string dom time charge
63 22 1123.04260254 1
63 22 1371.80749512 1
63 23 984.671508789 1
63 24 916.941711426 1
63 24 971.013549805 1
63 24 1021.50909424 1
63 25 973.737609863 1
63 25 1055.78747559 1
63 25 1301.84729004 1
63 26 865.036499023 1
63 26 960.658203125 1
63 26 1031.13122559 1
63 26 1092.06152344 1
63 26 1729.25793457 1
63 27 665.172851562 1
63 27 719.377746582 1
63 27 771.216918945 1
63 27 840.09576416 1
63 27 956.543640137 1
63 27 998.37512207 1
63 27 1387.59411621 1
63 27 1413.26647949 1
63 27 1442.53662109 1
63 27 2683.87646484 1
63 28 662.007507324 1
63 28 706.418212891 1
63 28 719.406799316 1
63 28 754.402648926 1
63 28 761.882873535 1
63 28 1022.45141602 1
63 29 642.240844727 1
63 29 726.775146484 1
63 29 733.973388672 1
63 29 787.236206055 1
63 29 888.665649414 1
63 29 958.785339355 1
63 29 1093.70825195 1
63 29 1513.70458984 1
63 29 1728.2947998 1
63 29 2890.45629883 1
63 30 738.96295166 1
63 30 786.482849121 1
63 30 916.748474121 1
63 30 945.053649902 1
63 30 1105.6282959 1
63 30 1750.77526855 1
63 31 919.861877441 1
63 32 925.42590332 1
63 32 1337.34082031 1
63 32 1721.58508301 1
63 33 1179.20898438 1
