string dom time charge
63 14 3040.97094727 1
63 16 2292.98657227 1
63 17 1521.57531738 1
63 17 1713.12902832 1
63 17 1762.45678711 1
63 17 1809.60961914 1
63 17 2237.54052734 1
63 18 1533.47229004 1
63 18 1620.99621582 1
63 18 1655.32189941 1
63 18 1760.99682617 1
63 18 1815.34228516 1
63 18 1958.85095215 1
63 18 2002.55749512 1
63 18 2006.29455566 1
63 18 2020.44616699 1
63 18 2198.17797852 1
63 18 2271.29907227 1
63 18 3349.31738281 1
63 19 1359.4777832 1
63 19 1380.21240234 1
63 19 1424.55834961 1
63 19 1544.36047363 1
63 19 1561.90600586 1
63 19 1588.60632324 1
63 19 1598.68823242 1
63 19 1607.81213379 1
63 19 1620.67492676 1
63 19 1884.63659668 1
63 19 1920.45532227 1
63 19 2278.99169922 1
63 19 2613.29711914 1
63 20 1151.56713867 1
63 20 1175.44824219 1
63 20 1289.38745117 1
63 20 1302.85095215 1
63 20 1334.86120605 1
63 20 1341.78393555 1
63 20 1365.6295166 1
63 20 1369.20617676 1
63 20 1380.73425293 1
63 20 1432.00134277 1
63 20 1435.14709473 1
63 20 1453.54553223 1
63 20 1501.65551758 1
63 20 1514.2935791 1
63 20 1526.85217285 1
63 20 1554.02185059 1
63 20 1571.45874023 1
63 20 1599.15075684 1
63 20 1605.44604492 1
63 20 1622.95129395 1
63 20 1646.53662109 1
63 20 1658.98425293 1
63 20 1702.77038574 1
63 20 1835.46765137 1
63 20 1880.02148438 1
63 20 1881.20666504 1
63 20 1927.52563477 1
63 20 1929.40795898 1
63 20 2040.33642578 1
63 20 2114.30151367 1
63 20 2139.98657227 1
63 20 2250.23901367 1
63 20 2266.41674805 1
63 20 2453.32519531 1
63 20 2531.20703125 1
63 20 2860.95629883 1
63 20 3727.52758789 1
63 21 1121.30444336 1
63 21 1145.91015625 1
63 21 1191.171875 1
63 21 1204.89660645 1
63 21 1230.49047852 1
63 21 1234.64172363 1
63 21 1249.60253906 1
63 21 1288.70605469 1
63 21 1296.14453125 1
63 21 1350.52294922 1
63 21 1354.78723145 1
63 21 1366.13269043 1
63 21 1367.81811523 1
63 21 1370.59558105 1
63 21 1376.40063477 1
63 21 1379.35412598 1
63 21 1391.91235352 1
63 21 1422.69287109 1
63 21 1431.26843262 1
63 21 1433.94177246 1
63 21 1438.19726562 1
63 21 1438.8013916 1
63 21 1438.87927246 1
63 21 1450.81872559 1
63 21 1453.90942383 1
63 21 1470.22790527 1
63 21 1488.86877441 1
63 21 1505.53222656 1
63 21 1511.33105469 1
63 21 1525.03820801 1
63 21 1528.46899414 1
63 21 1537.07946777 1
63 21 1551.59301758 1
63 21 1559.4161377 1
63 21 1568.42407227 1
63 21 1580.3392334 1
63 21 1597.83129883 1
63 21 1602.80517578 1
63 21 1625.99987793 1
63 21 1637.36157227 1
63 21 1639.46875 1
63 21 1670.0501709 1
63 21 1675.24267578 1
63 21 1676.8079834 1
63 21 1723.05395508 1
63 21 1729.61804199 1
63 21 1910.51806641 1
63 21 1927.69824219 1
63 21 2387.95410156 1
63 21 2518.47680664 1
63 21 2536.91894531 1
63 22 985.098388672 1
63 22 987.083618164 1
63 22 1019.14251709 1
63 22 1049.22302246 1
63 22 1057.30236816 1
63 22 1101.02160645 1
63 22 1111.92285156 1
63 22 1130.7734375 1
63 22 1132.62512207 1
63 22 1138.69067383 1
63 22 1145.94787598 1
63 22 1155.48864746 1
63 22 1164.54882812 1
63 22 1175.52844238 1
63 22 1177.37524414 1
63 22 1201.19543457 1
63 22 1211.96386719 1
63 22 1215.38232422 1
63 22 1241.45117188 1
63 22 1252.23059082 1
63 22 1252.94555664 1
63 22 1277.74658203 1
63 22 1280.43212891 1
63 22 1293.04443359 1
63 22 1324.88635254 1
63 22 1333.48950195 1
63 22 1339.10461426 1
63 22 1339.13195801 1
63 22 1342.54614258 1
63 22 1342.65673828 1
63 22 1346.1484375 1
63 22 1363.21557617 1
63 22 1390.73242188 1
63 22 1393.17724609 1
63 22 1393.95422363 1
63 22 1419.35351562 1
63 22 1428.79125977 1
63 22 1429.58459473 1
63 22 1434.3503418 1
63 22 1443.54248047 1
63 22 1458.79907227 1
63 22 1474.58374023 1
63 22 1480.70324707 1
63 22 1485.32653809 1
63 22 1491.6295166 1
63 22 1511.3392334 1
63 22 1519.45922852 1
63 22 1530.32568359 1
63 22 1559.59326172 1
63 22 1586.07836914 1
63 22 1602.89147949 1
63 22 1612.47497559 1
63 22 1620.60424805 1
63 22 1634.34228516 1
63 22 1689.84716797 1
63 22 1694.27124023 1
63 22 1713.8236084 1
63 22 1743.45031738 1
63 22 1829.7434082 1
63 22 1848.49084473 1
63 22 1878.49182129 1
63 22 1923.99804688 1
63 22 2030.6796875 1
63 22 2087.37597656 1
63 22 2088.95239258 1
63 22 2101.09375 1
63 22 2166.36108398 1
63 22 2244.91992188 1
63 22 2261.22851562 1
63 22 2464.72460938 1
63 22 2888.70996094 1
63 23 912.11114502 1
63 23 934.57434082 1
63 23 939.068786621 1
63 23 945.549621582 1
63 23 952.560791016 1
63 23 955.556335449 1
63 23 957.228637695 1
63 23 961.006225586 1
63 23 962.447265625 1
63 23 970.800170898 1
63 23 990.409179688 1
63 23 997.385314941 1
63 23 997.906433105 1
63 23 1001.28851318 1
63 23 1006.99639893 1
63 23 1009.17285156 1
63 23 1025.15319824 1
63 23 1030.90136719 1
63 23 1037.29748535 1
63 23 1041.22229004 1
63 23 1044.95031738 1
63 23 1046.17492676 1
63 23 1046.71203613 1
63 23 1052.95861816 1
63 23 1053.10705566 1
63 23 1054.89221191 1
63 23 1060.78894043 1
63 23 1065.28601074 1
63 23 1070.9107666 1
63 23 1071.9173584 1
63 23 1077.83557129 1
63 23 1079.88708496 1
63 23 1080.85571289 1
63 23 1084.58203125 1
63 23 1087.66723633 1
63 23 1091.24914551 1
63 23 1100.26818848 1
63 23 1108.62988281 1
63 23 1121.45068359 1
63 23 1131.71447754 1
63 23 1147.70202637 1
63 23 1153.03503418 1
63 23 1159.2598877 1
63 23 1177.96228027 1
63 23 1182.9387207 1
63 23 1184.38330078 1
63 23 1185.47521973 1
63 23 1199.06958008 1
63 23 1206.15979004 1
63 23 1210.23730469 1
63 23 1218.36291504 1
63 23 1221.2869873 1
63 23 1221.51074219 1
63 23 1228.26025391 1
63 23 1228.93908691 1
63 23 1250.71081543 1
63 23 1251.90771484 1
63 23 1252.05102539 1
63 23 1256.70581055 1
63 23 1259.46179199 1
63 23 1263.89538574 1
63 23 1269.39099121 1
63 23 1270.42272949 1
63 23 1272.33007812 1
63 23 1276.18347168 1
63 23 1277.95446777 1
63 23 1281.83312988 1
63 23 1287.76367188 1
63 23 1289.89428711 1
63 23 1304.96911621 1
63 23 1307.88671875 1
63 23 1312.19445801 1
63 23 1313.578125 1
63 23 1323.37438965 1
63 23 1339.03723145 1
63 23 1344.58032227 1
63 23 1349.90307617 1
63 23 1351.97119141 1
63 23 1360.48718262 1
63 23 1371.33862305 1
63 23 1373.9284668 1
63 23 1378.04187012 1
63 23 1394.14611816 1
63 23 1397.67578125 1
63 23 1399.0447998 1
63 23 1403.70300293 1
63 23 1405.41113281 1
63 23 1445.96289062 1
63 23 1464.7635498 1
63 23 1477.76672363 1
63 23 1479.57495117 1
63 23 1481.3371582 1
63 23 1483.04980469 1
63 23 1483.26623535 1
63 23 1483.99731445 1
63 23 1505.70715332 1
63 23 1513.31604004 1
63 23 1515.8770752 1
63 23 1547.53881836 1
63 23 1559.43530273 1
63 23 1575.55529785 1
63 23 1601.203125 1
63 23 1615.69702148 1
63 23 1623.09411621 1
63 23 1631.49487305 1
63 23 1632.85839844 1
63 23 1651.0513916 1
63 23 1657.43225098 1
63 23 1670.29296875 1
63 23 1689.66918945 1
63 23 1709.24169922 1
63 23 1753.0859375 1
63 23 1764.5045166 1
63 23 1780.6505127 1
63 23 1804.27941895 1
63 23 1804.50366211 1
63 23 1823.79187012 1
63 23 1827.68847656 1
63 23 1844.02380371 1
63 23 1883.04711914 1
63 23 1934.31494141 1
63 23 1939.25476074 1
63 23 1975.14343262 1
63 23 1992.05358887 1
63 23 2021.75366211 1
63 23 2039.79443359 1
63 23 2063.13012695 1
63 23 2113.41650391 1
63 23 2144.05273438 1
63 23 2195.74658203 1
63 23 2254.01977539 1
63 23 2256.39306641 1
63 23 2479.31835938 1
63 23 2562.33764648 1
63 23 2837.51733398 1
63 23 3152.12988281 1
63 23 3161.00927734 1
63 24 776.439147949 1
63 24 795.348327637 1
63 24 820.071655273 1
63 24 830.931152344 1
63 24 854.569458008 1
63 24 855.309387207 1
63 24 855.677307129 1
63 24 864.515380859 1
63 24 866.135253906 1
63 24 895.086914062 1
63 24 895.902893066 1
63 24 896.989685059 1
63 24 898.234008789 1
63 24 909.145935059 1
63 24 910.972595215 1
63 24 914.74609375 1
63 24 920.503173828 1
63 24 920.727172852 1
63 24 924.179199219 1
63 24 927.196350098 1
63 24 928.142211914 1
63 24 931.661193848 1
63 24 939.253295898 1
63 24 940.603271484 1
63 24 940.628967285 1
63 24 943.275939941 1
63 24 948.108764648 1
63 24 950.715454102 1
63 24 950.913391113 1
63 24 954.861999512 1
63 24 960.668151855 1
63 24 963.868225098 1
63 24 964.59173584 1
63 24 966.671936035 1
63 24 968.600341797 1
63 24 973.007995605 1
63 24 974.79284668 1
63 24 976.403015137 1
63 24 978.314147949 1
63 24 983.863586426 1
63 24 988.673950195 1
63 24 988.776489258 1
63 24 1002.40844727 1
63 24 1004.13891602 1
63 24 1004.47991943 1
63 24 1008.5269165 1
63 24 1011.56915283 1
63 24 1019.62640381 1
63 24 1024.16479492 1
63 24 1025.5020752 1
63 24 1026.93518066 1
63 24 1028.34960938 1
63 24 1029.57702637 1
63 24 1034.65039062 1
63 24 1035.67053223 1
63 24 1036.7142334 1
63 24 1037.29187012 1
63 24 1039.06030273 1
63 24 1043.25708008 1
63 24 1046.51672363 1
63 24 1048.40979004 1
63 24 1050.16674805 1
63 24 1051.15551758 1
63 24 1052.98828125 1
63 24 1053.46704102 1
63 24 1054.8203125 1
63 24 1065.78540039 1
63 24 1075.00964355 1
63 24 1084.00756836 1
63 24 1085.09216309 1
63 24 1087.44726562 1
63 24 1087.80358887 1
63 24 1088.76745605 1
63 24 1089.5604248 1
63 24 1092.68566895 1
63 24 1095.4822998 1
63 24 1107.76086426 1
63 24 1109.47009277 1
63 24 1110.45019531 1
63 24 1111.97705078 1
63 24 1117.82177734 1
63 24 1121.72412109 1
63 24 1122.74206543 1
63 24 1124.73571777 1
63 24 1127.1373291 1
63 24 1135.5645752 1
63 24 1140.27038574 1
63 24 1143.79284668 1
63 24 1146.03564453 1
63 24 1149.26159668 1
63 24 1150.76367188 1
63 24 1151.80541992 1
63 24 1164.76977539 1
63 24 1170.61206055 1
63 24 1173.87915039 1
63 24 1181.19750977 1
63 24 1181.32421875 1
63 24 1182.41723633 1
63 24 1184.23400879 1
63 24 1186.81335449 1
63 24 1197.77990723 1
63 24 1201.17492676 1
63 24 1208.61523438 1
63 24 1209.45153809 1
63 24 1210.62866211 1
63 24 1216.56335449 1
63 24 1219.76794434 1
63 24 1222.06689453 1
63 24 1222.77453613 1
63 24 1226.50769043 1
63 24 1228.8034668 1
63 24 1247.54553223 1
63 24 1257.73193359 1
63 24 1259.36340332 1
63 24 1264.42993164 1
63 24 1269.00268555 1
63 24 1277.3894043 1
63 24 1280.10913086 1
63 24 1280.75952148 1
63 24 1282.55712891 1
63 24 1282.91101074 1
63 24 1283.29504395 1
63 24 1292.62158203 1
63 24 1292.71008301 1
63 24 1305.41052246 1
63 24 1306.60534668 1
63 24 1312.91174316 1
63 24 1322.55090332 1
63 24 1329.30529785 1
63 24 1331.96887207 1
63 24 1333.38354492 1
63 24 1353.92858887 1
63 24 1354.14013672 1
63 24 1358.84289551 1
63 24 1362.16308594 1
63 24 1362.24243164 1
63 24 1363.77612305 1
63 24 1363.93640137 1
63 24 1371.80786133 1
63 24 1372.06030273 1
