string dom time charge
63 22 1000.81707764 1
63 22 1165.68615723 1
63 22 1371.80749512 1
63 22 1413.7277832 1
63 22 2065.38916016 1
63 23 1114.89465332 1
63 23 1216.05505371 1
63 24 842.372436523 1
63 24 1757.60375977 1
63 26 759.700500488 1
63 26 948.357788086 1
63 26 1527.04541016 1
63 27 654.81842041 1
63 27 719.377746582 1
63 27 797.971374512 1
63 27 823.920593262 1
63 27 830.252990723 1
63 27 956.543640137 1
63 27 1030.10314941 1
63 27 1148.69372559 1
63 27 1156.42492676 1
63 27 1264.48754883 1
63 27 1394.02160645 1
63 27 1413.26647949 1
63 27 1647.20092773 1
63 28 661.413574219 1
63 28 696.141174316 1
63 28 715.464904785 1
63 28 761.882873535 1
63 28 796.18927002 1
63 28 825.465881348 1
63 28 885.626708984 1
63 28 981.139282227 1
63 28 984.207885742 1
63 28 1002.51202393 1
63 28 1072.48864746 1
63 28 1178.86804199 1
63 28 1274.67773438 1
63 28 1549.17211914 1
63 28 2597.99438477 1
63 29 636.810668945 1
63 29 649.507385254 1
63 29 655.351074219 1
63 29 673.869506836 1
63 29 788.418029785 1
63 29 854.057495117 1
63 29 888.665649414 1
63 29 906.514099121 1
63 29 911.410827637 1
63 29 912.887817383 1
63 29 923.419372559 1
63 29 1075.11157227 1
63 29 1091.65917969 1
63 29 1194.54528809 1
63 29 1266.49072266 1
63 30 701.66003418 1
63 30 709.273742676 1
63 30 805.472412109 1
63 30 829.971374512 1
63 30 940.903381348 1
63 30 1013.43029785 1
63 30 1057.04162598 1
63 30 1750.77526855 1
63 31 851.813415527 1
63 31 1064.07775879 1
63 31 1463.26831055 1
63 31 1511.14575195 1
63 32 795.650268555 1
