string dom time hits
35 26 2252.33886719 1
35 26 4143.08544922 1
35 28 2724.57470703 1
36 24 3547.20410156 1
36 27 3255.58056641 1
38 28 3314.62744141 1
44 27 1663.18554688 1
44 27 1777.61022949 1
44 27 2044.50695801 1
44 27 2187.05566406 1
44 27 2692.09814453 1
44 28 1585.46862793 1
44 28 1673.95849609 1
44 28 1814.16711426 1
44 29 2100.14892578 1
44 30 2176.68286133 1
44 30 2261.19848633 1
45 21 1560.69970703 1
45 22 2048.94946289 1
45 22 2274.84545898 1
45 23 1544.47131348 1
45 24 2256.50854492 1
45 25 1523.33459473 1
45 25 1777.26074219 1
45 25 1821.38085938 1
45 25 2138.41137695 1
45 25 2327.15795898 1
45 25 2332.47021484 1
45 26 1366.0760498 1
45 26 1366.95727539 1
45 26 1374.83911133 1
45 26 1442.07434082 1
45 26 1570.18945312 1
45 26 1709.75939941 1
45 26 1745.06848145 1
45 26 1974.69238281 1
45 26 2540.73046875 1
45 27 1266.98181152 1
45 27 1446.46923828 1
45 27 1471.7689209 1
45 27 1612.88562012 1
45 27 1613.80114746 1
45 27 1764.07250977 1
45 27 2208.40917969 1
45 27 2294.36230469 1
45 28 1336.62438965 1
45 28 1482.68969727 1
45 28 1575.63293457 1
45 28 1584.77319336 1
45 28 1620.01867676 1
45 28 1647.38598633 1
45 28 1648.75256348 1
45 28 1757.81518555 1
45 28 1763.55651855 1
45 29 1171.50231934 1
45 29 1400.45080566 1
45 29 1431.45056152 1
45 29 1458.67858887 1
45 29 1849.99035645 1
45 29 1890.90283203 1
45 29 1916.98828125 1
45 29 2042.0645752 1
45 29 2223.71655273 1
45 30 1235.3638916 1
45 30 1303.72753906 1
45 30 1683.37194824 1
45 30 1707.22253418 1
45 30 1971.03015137 1
45 31 2229.04321289 1
46 24 2143.79980469 1
46 26 1594.71911621 1
46 26 1978.25280762 1
46 26 2234.09301758 1
46 26 2462.8996582 1
46 26 3028.22021484 1
46 27 1423.58911133 1
46 27 1520.80737305 1
46 27 1982.01293945 1
46 27 2115.29516602 1
46 28 1828.74353027 1
46 28 1854.86181641 1
46 28 2296.40039062 1
46 28 2894.48999023 1
46 29 1632.08068848 1
46 29 1652.28820801 1
46 29 2491.69506836 1
46 30 1534.32800293 1
46 30 1621.68859863 1
46 30 1884.05615234 1
46 31 3148.11108398 1
47 25 3533.4519043 1
47 28 1991.58447266 1
47 30 2018.37402344 1
52 27 3168.36230469 1
53 18 4124.19824219 1
53 23 1537.19421387 1
53 24 1631.41833496 1
53 24 1687.32434082 1
53 24 1856.88354492 1
53 24 2092.27124023 1
53 24 2221.51513672 1
53 24 2266.90039062 1
53 25 1420.69006348 1
53 26 1246.23376465 1
